lag,acf_value,pacf_value,acf_significant,pacf_significant,in_roll7,in_roll14,in_roll28
0,1.0,1.0,0,0,0,0,0
1,0.1528777276575255,0.15287772765752544,1,1,1,1,1
2,0.12986528899932767,0.1090421795469794,1,1,1,1,1
3,0.19507358452084633,0.16654108075884075,1,1,1,1,1
4,0.14016312956273835,0.08575517025260546,1,0,1,1,1
5,0.17969161104701792,0.12489671430234607,1,1,1,1,1
6,0.16057106610070593,0.08549633328926814,1,0,1,1,1
7,0.12134504698326061,0.04209032600457,1,0,1,1,1
8,0.11382086075157678,0.02727114229658267,1,0,0,1,1
9,0.02484605726062261,-0.06792384298067153,0,0,0,1,1
10,0.09186884290649562,0.02407343078693635,0,0,0,1,1
11,0.09434452585122606,0.024905671662554352,0,0,0,1,1
12,0.08144805145465255,0.031020518913382766,0,0,0,1,1
13,0.10285289971033067,0.048842025956869456,0,0,0,1,1
14,0.07365303388077908,0.023613893097533426,0,0,0,1,1
15,0.10615256121087445,0.060408143239846626,1,0,0,0,1
16,0.05965856675320216,-0.0077100572284615285,0,0,0,0,1
17,0.06577534974528959,0.00745291708645965,0,0,0,0,1
18,0.002997099603576727,-0.07963512951506707,0,0,0,0,1
19,0.01903272232088317,-0.031941836138762135,0,0,0,0,1
20,0.06174761635903339,0.01878165267334485,0,0,0,0,1
21,0.09898501086833274,0.07628719145043145,0,0,0,0,1
22,0.024149998708630372,-0.006234006713977396,0,0,0,0,1
23,0.05852802598762367,0.03567731728831072,0,0,0,0,1
24,0.09421231686750871,0.07298017338772839,0,0,0,0,1
25,0.08924970793835833,0.051970649024543326,0,0,0,0,1
26,0.08264031977810411,0.02560755697592417,0,0,0,0,1
27,0.1373262614263452,0.06744254565750053,1,0,0,0,1
28,0.05891820895953773,-0.026837113193676904,0,0,0,0,1
29,0.07880990761815788,0.009521027289553306,0,0,0,0,0
30,0.050891091450122015,-0.027982959855371636,0,0,0,0,0
