last_digit,mean_diff,n_rows,pct_rows,rank
0,33.12261716692996,37980,10.027855153203342,9
1,47.58092507548271,39413,10.406209982970072,4
2,36.66788545129123,39110,10.32620892685052,7
3,52.45359622621508,37734,9.96290380071024,2
4,56.767890404374214,33286,8.788498858070733,1
5,45.35752212389381,38420,10.144028304004014,5
6,32.298429186079076,39279,10.370829977953504,10
7,35.863018508301145,39874,10.527927761422593,8
8,48.35661039526603,39037,10.306934745013136,3
9,38.56792441927655,34612,9.138602489801846,6
