group_key,last_digit,mean_diff,n_rows,pct_rows,rank
2F_A,0,37.789242788461536,16640,10.707023910637531,8
2F_A,1,51.5212869678258,18462,11.879391552775848,4
2F_A,2,25.520817736826952,17365,11.173525853859418,10
2F_A,3,47.60365458296493,16965,10.91614547139217,5
2F_A,4,85.43382216447002,10774,6.932540601755334,1
2F_A,5,44.33688644922449,15667,10.080946130285948,6
2F_A,6,27.42020041549554,16366,10.530718348647467,9
2F_A,7,42.21571287617168,16216,10.434200705222247,7
2F_A,8,53.75819621427688,16166,10.402028157413842,3
2F_A,9,71.6104160874803,10791,6.943479268010193,2
2F_N,0,39.106852828038186,42114,10.83351769057823,10
2F_N,1,41.64553580345551,40052,10.303083310610232,9
2F_N,2,75.42680071954855,40581,10.43916468161075,4
2F_N,3,59.89864782555731,41045,10.558525279236914,7
2F_N,4,101.63006801813818,29992,7.715222077594679,2
2F_N,5,50.614743453519395,42351,10.894484202727801,8
2F_N,6,87.73714970411308,40894,10.519681636474951,3
2F_N,7,61.09018535546629,41326,10.630810468747589,6
2F_N,8,61.97242678540846,40873,10.514279540461699,5
2F_N,9,102.78786851914606,29510,7.591231111957154,1
3F_A,0,182.98684691267812,8211,9.574393656716417,5
3F_A,1,206.61295472687877,8769,10.225046641791046,2
3F_A,2,190.97466415272214,8486,9.895055970149254,3
3F_A,3,206.80650267900634,8212,9.575559701492537,1
3F_A,4,180.00112866817156,8860,10.331156716417912,6
3F_A,5,171.5711209339227,8823,10.288013059701493,8
3F_A,6,183.09728199320497,8830,10.296175373134329,4
3F_A,7,160.27178303519906,8665,10.103777985074627,10
3F_A,8,179.6754273752762,8599,10.026819029850746,7
3F_A,9,162.36941601444911,8305,9.684001865671641,9
3F_N,0,-6.334726555601343,16987,10.358053146989597,6
3F_N,1,-33.563695374985514,17254,10.520860010487933,9
3F_N,2,-32.813186174847516,17215,10.497079232673569,8
3F_N,3,-57.68621595795509,16744,10.2098806083001,10
3F_N,4,0.634462406979728,15588,9.504993963341017,5
3F_N,5,23.990144,15625,9.527555214087977,2
3F_N,6,4.721603278268664,15618,9.523286869352066,4
3F_N,7,-28.50392047910107,16197,9.87633995536531,7
3F_N,8,48.91378779481495,16239,9.901950023780778,1
3F_N,9,19.794204827294173,16531,10.080000975621655,3
