last_digit,mean_diff,n_rows,pct_rows,rank
0,214.63917525773195,1455,8.310961329753813,3
1,332.49892101855846,2317,13.23470611755298,1
2,166.2972292191436,1985,11.33832181413149,8
3,203.2719836400818,1956,11.172673787627806,5
4,205.33847000550358,1817,10.378705660592907,4
5,151.03409726103968,1789,10.218769635003142,10
6,160.5704697986577,1788,10.213057634089221,9
7,200.13679890560874,1462,8.350945336151254,6
8,197.43762643290628,1483,8.470897355343576,7
9,255.05154639175257,1455,8.310961329753813,2
