condition,difficulty,n_pairs,n_days,hit_at_2_mean,hit_at_3_mean,loss_mean,loss_p50,loss_p75,loss_p95,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate
anomaly_direction,high_anomaly,33,11,1.0,1.0,1900.0,0.0,0.0,11099.999999999996,1.0,,0.0
anomaly_direction,low_anomaly,24,8,0.9583333333333334,0.9583333333333334,275.0,0.0,0.0,969.9999999999995,0.5,0.0,0.041666666666666664
anomaly_direction,normal,375,125,0.9946666666666667,1.0,861.3333333333334,0.0,0.0,5400.0,0.7894736842105263,0.0,0.010666666666666666
difficulty_failure,hit_day,423,141,1.0,1.0,813.4751773049645,0.0,0.0,4589.999999999998,0.8947368421052632,0.0,0.004728132387706856
difficulty_failure,miss_day,9,3,0.6666666666666666,0.8888888888888888,5355.555555555556,1700.0,4800.0,19440.0,0.25,0.0,0.3333333333333333
pred_span_quartile,Q1,108,83,0.9722222222222222,0.9907407407407407,2699.074074074074,0.0,3075.0,12199.999999999984,0.6923076923076923,0.0,0.037037037037037035
pred_span_quartile,Q2,108,88,1.0,1.0,850.0,0.0,0.0,3764.999999999999,0.9,0.0,0.009259259259259259
pred_span_quartile,Q3,108,77,1.0,1.0,71.29629629629629,0.0,0.0,600.0,,,0.0
pred_span_quartile,Q4,108,83,1.0,1.0,12.037037037037036,0.0,0.0,0.0,,,0.0
weekday,Friday,63,21,1.0,1.0,715.8730158730159,0.0,0.0,4089.9999999999986,1.0,,0.0
weekday,Monday,60,20,1.0,1.0,695.0,0.0,0.0,3064.9999999999905,1.0,,0.0
weekday,Saturday,63,21,1.0,1.0,365.07936507936506,0.0,0.0,1269.9999999999995,1.0,,0.0
weekday,Sunday,63,21,0.9682539682539683,0.9841269841269841,1469.8412698412699,0.0,0.0,13909.99999999999,0.3333333333333333,0.0,0.06349206349206349
weekday,Thursday,63,21,0.9841269841269841,1.0,617.4603174603175,0.0,0.0,3499.9999999999986,0.6666666666666666,0.0,0.015873015873015872
weekday,Tuesday,60,20,1.0,1.0,1395.0,0.0,50.0,6119.999999999999,1.0,,0.0
weekday,Wednesday,60,20,1.0,1.0,1121.6666666666667,0.0,0.0,5504.999999999994,1.0,,0.0
