metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
hit_at_2,wilcoxon,33,33,33,1.0,0.9393939393939394,0.06060606060606055,0.0,0.15151515151515152,0.15729920705028502,0.35372615062830515,small,anomaly_direction,high_anomaly,1.0,0.2645486664027521,False,False,False
loss_value,wilcoxon,33,33,33,1900.0,766.6666666666666,1133.3333333333335,-1015.2272727272727,3849.166666666663,0.779434528427275,0.22503313546931097,small,anomaly_direction,high_anomaly,1.0,0.8739114409639144,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,2,3,0,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,,1.4142135623730951,large,anomaly_direction,high_anomaly,,,False,False,False
hit_at_2,wilcoxon,24,24,24,0.9583333333333334,0.75,0.20833333333333337,0.0,0.4166666666666667,0.05878172135535886,0.6047942471824087,medium,anomaly_direction,low_anomaly,1.0,0.12082909389712654,False,False,False
loss_value,wilcoxon,24,24,24,275.0,2637.5,-2362.5,-4200.416666666667,-783.3333333333334,0.012515318690073973,-0.7373572754957718,medium,anomaly_direction,low_anomaly,0.463066791532737,0.04209698104843063,True,True,False
rank2_rescue_on_miss1,mannwhitneyu,2,8,0,0.5,0.25,0.25,-0.5,1.0,,0.5,medium,anomaly_direction,low_anomaly,,,False,False,False
hit_at_2,wilcoxon,375,375,375,0.9946666666666667,0.864,0.1306666666666667,0.096,0.168,6.820210334435374e-12,0.5266051188202868,medium,anomaly_direction,normal,2.523477823741088e-10,2.523477823741088e-10,True,True,True
loss_value,wilcoxon,375,375,375,861.3333333333334,1935.7333333333333,-1074.4,-1606.6666666666667,-574.3533333333336,1.6450046394930002e-05,-0.26832805984400027,small,anomaly_direction,normal,0.00060865171661241,0.000304325858306205,True,True,True
rank2_rescue_on_miss1,mannwhitneyu,19,75,0,0.7894736842105263,0.30666666666666664,0.4828070175438597,0.27087719298245616,0.6799999999999999,0.00014205381333782854,1.0594950980119902,large,anomaly_direction,normal,0.005255991093499656,0.001751997031166552,True,True,True
hit_at_2,mannwhitneyu,423,282,276,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,423,282,276,813.4751773049645,678.0141843971631,135.46099290780137,-107.6086956521739,759.0851449275361,0.20408111263558715,0.046980336413990395,negligible,difficulty_failure,hit_day,1.0,0.3283043985876837,False,False,False
