condition,difficulty,n_pairs,n_miss1,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate,loss_when_miss1_p50,loss_when_miss1_p75
anomaly_direction,high_anomaly,33,2,1.0,,0.0,0.0,0.0
anomaly_direction,low_anomaly,24,2,0.5,0.0,0.041666666666666664,2900.0,3850.0
anomaly_direction,normal,375,19,0.7894736842105263,0.0,0.010666666666666666,300.0,6150.0
difficulty_failure,hit_day,423,19,0.8947368421052632,0.0,0.004728132387706856,0.0,1650.0
difficulty_failure,miss_day,9,4,0.25,0.0,0.3333333333333333,10950.0,18075.0
pred_span_quartile,Q1,108,13,0.6923076923076923,0.0,0.037037037037037035,2100.0,8600.0
pred_span_quartile,Q2,108,10,0.9,0.0,0.009259259259259259,100.0,1150.0
pred_span_quartile,Q3,108,0,,,0.0,,
pred_span_quartile,Q4,108,0,,,0.0,,
weekday,Friday,63,3,1.0,,0.0,0.0,0.0
weekday,Monday,60,2,1.0,,0.0,150.0,225.0
weekday,Saturday,63,3,1.0,,0.0,0.0,500.0
weekday,Sunday,63,6,0.3333333333333333,0.0,0.06349206349206349,15500.0,16950.0
weekday,Thursday,63,3,0.6666666666666666,0.0,0.015873015873015872,1200.0,2400.0
weekday,Tuesday,60,2,1.0,,0.0,1950.0,2825.0
weekday,Wednesday,60,4,1.0,,0.0,0.0,525.0
