metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
hit_at_2,wilcoxon,33,33,33,1.0,0.9393939393939394,0.06060606060606055,0.0,0.15151515151515152,0.15729920705028502,0.35372615062830515,small,anomaly_direction,high_anomaly,1.0,0.2272099657393006,False,False,False
loss_value,wilcoxon,33,33,33,1748.4848484848485,766.6666666666666,981.8181818181819,-1051.590909090909,3649.090909090906,0.7353166906373405,0.19969669685924493,negligible,anomaly_direction,high_anomaly,1.0,0.8193528838530365,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,3,3,0,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,,1.6329931618554523,large,anomaly_direction,high_anomaly,,,False,False,False
hit_at_2,wilcoxon,24,24,24,1.0,0.75,0.25,0.08333333333333333,0.4166666666666667,0.014305878435429648,0.7993052538854533,medium,anomaly_direction,low_anomaly,0.5579292589817563,0.04291763530628894,True,True,False
loss_value,wilcoxon,24,24,24,170.83333333333334,2637.5,-2466.6666666666665,-4254.270833333334,-929.1666666666666,0.007685794055213263,-0.7837982244771604,medium,anomaly_direction,low_anomaly,0.2997459681533173,0.03178878921466053,True,True,False
rank2_rescue_on_miss1,mannwhitneyu,2,8,0,1.0,0.25,0.75,0.375,1.0,,1.7320508075688774,large,anomaly_direction,low_anomaly,,,False,False,False
hit_at_2,wilcoxon,375,375,375,0.9893333333333333,0.864,0.1253333333333333,0.09333333333333334,0.16,1.8898968170348683e-11,0.49465258387617533,small,anomaly_direction,normal,7.370597586435986e-10,7.370597586435986e-10,True,True,True
loss_value,wilcoxon,375,375,375,781.8666666666667,1935.7333333333333,-1153.8666666666668,-1684.8666666666666,-663.46,3.541588419134527e-06,-0.2873912274971333,small,anomaly_direction,normal,0.00013812194834624656,6.906097417312328e-05,True,True,True
rank2_rescue_on_miss1,mannwhitneyu,21,75,0,0.7619047619047619,0.30666666666666664,0.4552380952380952,0.23809523809523808,0.6647619047619048,0.00019176726138979416,0.9930038264121113,large,anomaly_direction,normal,0.007478923194201972,0.002492974398067324,True,True,True
hit_at_2,mannwhitneyu,420,282,279,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,420,282,279,710.7142857142857,678.0141843971631,32.70010131712252,-195.3763440860215,620.9587813620063,0.6322302506010198,0.01158942677245767,negligible,difficulty_failure,hit_day,1.0,0.7471812052557507,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,21,23,0,0.9523809523809523,0.9565217391304348,-0.0041407867494824835,-0.1428571428571429,0.13043478260869568,0.9740292571425255,-0.019422968908253777,negligible,difficulty_failure,hit_day,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,12,150,9,0.6666666666666666,0.6066666666666667,0.05999999999999994,-0.22666666666666674,0.31666666666666665,0.6853283418096381,0.12237891592902157,negligible,difficulty_failure,miss_day,1.0,0.7861119214875261,False,False,False
loss_value,mannwhitneyu,12,150,9,4708.333333333333,4155.333333333333,553.0,-3461.5166666666664,5427.675,0.9000305477843253,0.08236730528287114,negligible,difficulty_failure,miss_day,1.0,0.9750330934330191,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,5,63,0,0.2,0.06349206349206349,0.13650793650793652,-0.1111111111111111,0.5523809523809524,0.27510554655027675,0.5201320764593913,medium,difficulty_failure,miss_day,1.0,0.3831827255521712,False,False,False
hit_at_2,wilcoxon,108,108,32,0.9629629629629629,0.5648148148148148,0.39814814814814814,0.15625,0.46875,0.001565402258002548,1.0563991014801457,large,pred_span_quartile,Q1,0.06105068806209937,0.008721526866014196,True,True,False
loss_value,wilcoxon,108,108,32,2717.5925925925926,5454.62962962963,-2737.037037037037,-4963.4375,-540.4687500000009,0.034887358790356274,-0.41925580834773707,small,pred_span_quartile,Q1,1.0,0.07161089435915236,True,False,False
rank2_rescue_on_miss1,mannwhitneyu,16,63,0,0.6875,0.23809523809523808,0.4494047619047619,0.19838789682539684,0.6845238095238095,0.0007062992863525624,1.022786353672453,large,pred_span_quartile,Q1,0.027545672167749932,0.004590945361291655,True,True,True
hit_at_2,wilcoxon,108,108,21,1.0,0.9259259259259259,0.07407407407407407,0.0,0.23809523809523808,0.15729920705028502,0.3981438414926426,small,pred_span_quartile,Q2,1.0,0.2272099657393006,False,False,False
loss_value,wilcoxon,108,108,21,458.3333333333333,1580.5555555555557,-1122.2222222222224,-1100.0,319.166666666666,0.3104944343172349,-0.35840455590211845,small,pred_span_quartile,Q2,1.0,0.4175614806335228,False,False,False
