metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
hit_at_2,mannwhitneyu,33,33,33,1.0,1.0,0.0,0.0,0.0,1.0,,na,anomaly_direction,high_anomaly,1.0,1.0,False,False,False
loss_value,wilcoxon,33,33,33,1748.4848484848485,1900.0,-151.5151515151515,-1172.9545454545455,754.5454545454545,0.5929800980174267,-0.02326565769855386,negligible,anomaly_direction,high_anomaly,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,5,2,0,1.0,1.0,0.0,0.0,0.0,,,na,anomaly_direction,high_anomaly,,,False,False,False
hit_at_2,wilcoxon,24,24,24,1.0,0.9583333333333334,0.04166666666666663,0.0,0.125,0.31731050786291415,0.2886751345948126,small,anomaly_direction,low_anomaly,1.0,1.0,False,False,False
loss_value,wilcoxon,24,24,24,170.83333333333334,275.0,-104.16666666666666,-312.5,0.0,0.31731050786291415,-0.13097898234323033,negligible,anomaly_direction,low_anomaly,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,2,2,0,1.0,0.5,0.5,0.0,1.0,,1.0,large,anomaly_direction,low_anomaly,,,False,False,False
hit_at_2,wilcoxon,375,375,375,0.9893333333333333,0.9946666666666667,-0.005333333333333412,-0.013333333333333334,0.0,0.15729920705028502,-0.05981536114576765,negligible,anomaly_direction,normal,1.0,1.0,False,False,False
loss_value,wilcoxon,375,375,375,869.3333333333334,861.3333333333334,8.0,-264.62,299.21333333333325,0.2203653550361212,0.0023725406909484484,negligible,anomaly_direction,normal,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,19,19,0,0.6842105263157895,0.7894736842105263,-0.10526315789473684,-0.368421052631579,0.1578947368421053,0.47900932648254935,-0.23434997005935207,small,anomaly_direction,normal,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,420,423,417,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
