metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
hit_at_2,wilcoxon,33,33,33,0.9696969696969697,0.9393939393939394,0.030303030303030276,-0.06060606060606061,0.15151515151515152,0.5637028616507731,0.14363791428130815,negligible,anomaly_direction,high_anomaly,1.0,0.7003581008388393,False,False,False
loss_value,wilcoxon,33,33,33,1824.2424242424242,766.6666666666666,1057.5757575757575,-987.9545454545455,3745.681818181817,0.6744240722352938,0.21421150993851196,small,anomaly_direction,high_anomaly,1.0,0.7805128337276434,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,6,3,0,0.8333333333333334,0.3333333333333333,0.5,-0.16666666666666663,1.0,,1.0801234497346432,large,anomaly_direction,high_anomaly,,,False,False,False
hit_at_2,wilcoxon,24,24,24,1.0,0.75,0.25,0.08333333333333333,0.4166666666666667,0.014305878435429648,0.7993052538854533,medium,anomaly_direction,low_anomaly,0.5865410158526155,0.04189578684661539,True,True,False
loss_value,wilcoxon,24,24,24,137.5,2637.5,-2500.0,-4287.8125,-949.7916666666678,0.007685794055213263,-0.7947332358067941,medium,anomaly_direction,low_anomaly,0.31511755626374377,0.03341898353336107,True,True,False
rank2_rescue_on_miss1,mannwhitneyu,3,8,0,1.0,0.25,0.75,0.375,1.0,,1.8371173070873836,large,anomaly_direction,low_anomaly,,,False,False,False
hit_at_2,wilcoxon,375,375,375,0.992,0.864,0.128,0.09333333333333334,0.16266666666666665,1.1352143584921891e-11,0.5104193287449669,medium,anomaly_direction,normal,4.6543788698179755e-10,4.6543788698179755e-10,True,True,True
loss_value,wilcoxon,375,375,375,885.3333333333334,1935.7333333333333,-1050.4,-1617.4199999999998,-523.3866666666671,6.8931542072211424e-06,-0.24210669467841886,small,anomaly_direction,normal,0.00028261932249606686,0.00014130966124803343,True,True,True
rank2_rescue_on_miss1,mannwhitneyu,22,75,0,0.7272727272727273,0.30666666666666664,0.42060606060606065,0.19090909090909092,0.6104393939393933,0.00044035409881192344,0.9096600611354474,large,anomaly_direction,normal,0.01805451805128886,0.003610903610257772,True,True,True
hit_at_2,mannwhitneyu,420,282,276,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,420,282,276,793.0952380952381,678.0141843971631,115.08105369807492,-144.58333333333334,789.873188405797,0.6701742074044004,0.034948191327433216,negligible,difficulty_failure,hit_day,1.0,0.7805128337276434,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,26,23,0,0.8846153846153846,0.9565217391304348,-0.07190635451505023,-0.23076923076923073,0.08695652173913049,0.3751234946299985,-0.25944211218719687,small,difficulty_failure,hit_day,1.0,0.5126687759943312,False,False,False
hit_at_2,mannwhitneyu,12,150,6,0.6666666666666666,0.6066666666666667,0.05999999999999994,-0.22999999999999993,0.32333333333333325,0.6853283418096381,0.12237891592902157,negligible,difficulty_failure,miss_day,1.0,0.7805128337276434,False,False,False
loss_value,mannwhitneyu,12,150,6,5200.0,4155.333333333333,1044.666666666667,-3034.3416666666662,6203.383333333333,0.7253533154595003,0.15581488453932407,negligible,difficulty_failure,miss_day,1.0,0.8037698901037706,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,5,63,0,0.2,0.06349206349206349,0.13650793650793652,-0.1111111111111111,0.5365079365079365,0.27510554655027675,0.5201320764593913,medium,difficulty_failure,miss_day,1.0,0.4338202849446672,False,False,False
hit_at_2,wilcoxon,108,108,29,0.9722222222222222,0.5648148148148148,0.40740740740740744,0.10344827586206896,0.41379310344827586,0.0081509715935027,1.0979880102687596,large,pred_span_quartile,Q1,0.3341898353336107,0.03341898353336107,True,True,False
loss_value,wilcoxon,108,108,29,2892.5925925925926,5454.62962962963,-2562.037037037037,-2624.2241379310344,2924.3965517241368,0.30461293126083755,-0.3606680928671907,small,pred_span_quartile,Q1,1.0,0.4486114076682579,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,18,63,0,0.7222222222222222,0.23809523809523808,0.48412698412698413,0.23809523809523814,0.7063492063492064,0.00015787151090501452,1.1095669212691217,large,pred_span_quartile,Q1,0.006472731947105595,0.002157577315701865,True,True,True
hit_at_2,wilcoxon,108,108,24,1.0,0.9259259259259259,0.07407407407407407,0.0,0.125,0.31731050786291415,0.3981438414926426,small,pred_span_quartile,Q2,1.0,0.4486114076682579,False,False,False
loss_value,wilcoxon,108,108,24,612.9629629629629,1580.5555555555557,-967.5925925925927,-766.6666666666666,91.66666666666667,0.17629637444051116,-0.2933388592464183,small,pred_span_quartile,Q2,1.0,0.2962013843665248,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,11,16,0,0.9090909090909091,0.5,0.40909090909090906,0.10227272727272729,0.6875,0.03203035507019457,0.9231861823449954,large,pred_span_quartile,Q2,1.0,0.07295803099322096,True,False,False
hit_at_2,wilcoxon,108,108,30,0.9907407407407407,0.9629629629629629,0.02777777777777779,0.0,0.1,0.31731050786291415,0.18465684847568992,negligible,pred_span_quartile,Q3,1.0,0.4486114076682579,False,False,False
loss_value,wilcoxon,108,108,30,154.62962962962962,494.44444444444446,-339.81481481481484,-1740.0833333333333,20.16666666666576,0.12819017434510785,-0.22108149033128208,small,pred_span_quartile,Q3,1.0,0.22851291948475747,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,2,7,0,0.5,0.42857142857142855,0.07142857142857145,-0.7142857142857143,0.8571428571428572,,0.12700012700019056,negligible,pred_span_quartile,Q3,,,False,False,False
hit_at_2,mannwhitneyu,108,108,46,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q4,1.0,1.0,False,False,False
loss_value,mannwhitneyu,108,108,46,1.8518518518518519,12.037037037037036,-10.185185185185185,-36.111111111111114,5.555555555555555,1.0,-0.1138079901281035,negligible,pred_span_quartile,Q4,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,0,0,0,,,,,,,,na,pred_span_quartile,Q4,,,False,False,False
hit_at_2,wilcoxon,63,63,63,1.0,0.8888888888888888,0.11111111111111116,0.031746031746031744,0.19047619047619047,0.0081509715935027,0.4960158727618968,small,weekday,Friday,0.3341898353336107,0.03341898353336107,True,True,False
loss_value,wilcoxon,63,63,63,712.6984126984127,1814.2857142857142,-1101.5873015873017,-2517.5793650793653,77.89682539682474,0.0885206462089374,-0.30573338164291025,small,weekday,Friday,1.0,0.16497029520756515,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,3,12,0,1.0,0.4166666666666667,0.5833333333333333,0.33333333333333337,0.8333333333333334,,1.2315302134607444,large,weekday,Friday,,,False,False,False
hit_at_2,wilcoxon,60,60,60,1.0,0.7833333333333333,0.21666666666666667,0.11666666666666667,0.31666666666666665,0.0003114909767673833,0.7375443249091365,medium,weekday,Monday,0.012771130047462716,0.003192782511865679,True,True,True
loss_value,wilcoxon,60,60,60,618.3333333333334,1485.0,-866.6666666666666,-1871.7083333333335,203.33333333333334,0.012358997156397026,-0.29669292292170824,small,weekday,Monday,0.506718883412278,0.04115429872807762,True,True,False
rank2_rescue_on_miss1,mannwhitneyu,2,16,0,1.0,0.1875,0.8125,0.625,1.0,,2.0816659994661326,large,weekday,Monday,,,False,False,False
hit_at_2,wilcoxon,63,63,63,1.0,0.8888888888888888,0.11111111111111116,0.031746031746031744,0.19047619047619047,0.0081509715935027,0.4960158727618968,small,weekday,Saturday,0.3341898353336107,0.03341898353336107,True,True,False
loss_value,wilcoxon,63,63,63,157.14285714285714,1046.031746031746,-888.8888888888889,-1709.5634920634923,-196.82539682539684,0.030908013652429556,-0.4119157043970773,small,weekday,Saturday,1.0,0.07295803099322096,True,False,False
rank2_rescue_on_miss1,mannwhitneyu,6,10,0,1.0,0.3,0.7,0.4,1.0,0.00980142651624279,1.807392228230128,large,weekday,Saturday,0.4018584871659544,0.03653258974235949,True,True,False
hit_at_2,wilcoxon,63,63,63,0.9682539682539683,0.8888888888888888,0.07936507936507942,0.0,0.15873015873015872,0.05878172135535886,0.3094062004865322,small,weekday,Sunday,1.0,0.1147643131223673,False,False,False
loss_value,wilcoxon,63,63,63,1911.111111111111,3098.4126984126983,-1187.3015873015872,-2617.65873015873,447.77777777777686,0.019130578501628717,-0.19088787253989548,negligible,weekday,Sunday,0.7843537185667774,0.052290247904451824,True,False,False
rank2_rescue_on_miss1,mannwhitneyu,6,10,0,0.16666666666666666,0.2,-0.033333333333333354,-0.4,0.3333333333333333,0.9361862934730594,-0.07995432486067872,negligible,weekday,Sunday,1.0,1.0,False,False,False
hit_at_2,wilcoxon,63,63,63,0.9841269841269841,0.8888888888888888,0.09523809523809523,0.015873015873015872,0.19047619047619047,0.033894853524689246,0.3950607572108116,small,weekday,Thursday,1.0,0.073141526026961,True,False,False
loss_value,wilcoxon,63,63,63,549.2063492063492,1419.047619047619,-869.8412698412699,-2465.2380952380954,290.63492063491975,0.5277266198659963,-0.22918771147295575,small,weekday,Thursday,1.0,0.6761497317033078,False,False,False
