metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
hit_at_2,wilcoxon,33,33,33,0.9696969696969697,0.9393939393939394,0.030303030303030276,-0.06060606060606061,0.15151515151515152,0.5637028616507731,0.14363791428130815,negligible,anomaly_direction,high_anomaly,1.0,0.6797593331671088,False,False,False
loss_value,wilcoxon,33,33,33,1824.2424242424242,766.6666666666666,1057.5757575757575,-987.9545454545455,3745.681818181817,0.6744240722352938,0.21421150993851196,small,anomaly_direction,high_anomaly,1.0,0.7805128337276434,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,7,3,0,0.8571428571428571,0.3333333333333333,0.5238095238095237,-0.1428571428571429,1.0,,1.2001983962979579,large,anomaly_direction,high_anomaly,,,False,False,False
hit_at_2,wilcoxon,24,24,24,1.0,0.75,0.25,0.08333333333333333,0.4166666666666667,0.014305878435429648,0.7993052538854533,medium,anomaly_direction,low_anomaly,0.5865410158526155,0.04189578684661539,True,True,False
loss_value,wilcoxon,24,24,24,137.5,2637.5,-2500.0,-4287.8125,-949.7916666666678,0.007685794055213263,-0.7947332358067941,medium,anomaly_direction,low_anomaly,0.31511755626374377,0.037132203925956744,True,True,False
rank2_rescue_on_miss1,mannwhitneyu,3,8,0,1.0,0.25,0.75,0.375,1.0,,1.8371173070873836,large,anomaly_direction,low_anomaly,,,False,False,False
hit_at_2,wilcoxon,375,375,375,0.992,0.864,0.128,0.09333333333333334,0.16266666666666665,1.1352143584921891e-11,0.5104193287449669,medium,anomaly_direction,normal,4.6543788698179755e-10,4.6543788698179755e-10,True,True,True
loss_value,wilcoxon,375,375,375,888.0,1935.7333333333333,-1047.7333333333333,-1622.68,-513.6,1.1504966179336261e-05,-0.24141468085637224,small,anomaly_direction,normal,0.0004717036133527867,0.00023585180667639336,True,True,True
rank2_rescue_on_miss1,mannwhitneyu,20,75,0,0.7,0.30666666666666664,0.3933333333333333,0.16333333333333339,0.6167499999999996,0.0014582368858650024,0.8450854537988269,large,anomaly_direction,normal,0.0597877123204651,0.009964618720077516,True,True,False
hit_at_2,mannwhitneyu,420,282,276,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,420,282,276,795.4761904761905,678.0141843971631,117.46200607902733,-124.67391304347827,807.2735507246376,0.5272692158858048,0.03564962135650412,negligible,difficulty_failure,hit_day,1.0,0.6556603458941167,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,25,23,0,0.88,0.9565217391304348,-0.07652173913043481,-0.24,0.08695652173913049,0.3540956542918754,-0.27366698197129413,small,difficulty_failure,hit_day,1.0,0.5006179939988583,False,False,False
hit_at_2,mannwhitneyu,12,150,6,0.6666666666666666,0.6066666666666667,0.05999999999999994,-0.22999999999999993,0.32333333333333325,0.6853283418096381,0.12237891592902157,negligible,difficulty_failure,miss_day,1.0,0.7805128337276434,False,False,False
loss_value,mannwhitneyu,12,150,6,5200.0,4155.333333333333,1044.666666666667,-3034.3416666666662,6203.383333333333,0.7253533154595003,0.15581488453932407,negligible,difficulty_failure,miss_day,1.0,0.8037698901037706,False,False,False
