condition,difficulty,n_pairs,n_days,hit_at_2_mean,hit_at_3_mean,loss_mean,loss_p50,loss_p75,loss_p95,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate
anomaly_direction,high_anomaly,33,11,1.0,1.0,1560.6060606060605,0.0,0.0,6479.999999999992,1.0,,0.0
anomaly_direction,low_anomaly,24,8,0.9583333333333334,0.9583333333333334,241.66666666666666,0.0,0.0,849.9999999999978,0.0,0.0,0.041666666666666664
anomaly_direction,normal,375,125,0.992,0.9973333333333333,904.8,0.0,0.0,5900.0,0.6666666666666666,0.0,0.016
difficulty_failure,hit_day,420,140,1.0,1.0,859.047619047619,0.0,0.0,5419.999999999982,0.8333333333333334,0.0,0.007142857142857143
difficulty_failure,miss_day,12,4,0.6666666666666666,0.8333333333333334,2983.3333333333335,850.0,4950.0,10105.0,0.0,0.0,0.3333333333333333
pred_span_quartile,Q1,108,85,0.9629629629629629,0.9814814814814815,2768.5185185185187,0.0,2550.0,10354.999999999995,0.4166666666666667,0.0,0.06481481481481481
pred_span_quartile,Q2,108,87,1.0,1.0,770.3703703703703,0.0,0.0,2529.999999999998,1.0,,0.0
pred_span_quartile,Q3,108,79,1.0,1.0,121.29629629629629,0.0,0.0,664.9999999999991,1.0,,0.0
pred_span_quartile,Q4,108,86,1.0,1.0,12.037037037037036,0.0,0.0,0.0,,,0.0
weekday,Friday,63,21,1.0,1.0,601.5873015873016,0.0,0.0,3309.9999999999973,1.0,,0.0
weekday,Monday,60,20,1.0,1.0,635.0,0.0,0.0,2379.99999999999,1.0,,0.0
weekday,Saturday,63,21,1.0,1.0,158.73015873015873,0.0,0.0,1269.9999999999995,1.0,,0.0
weekday,Sunday,63,21,0.9841269841269841,0.9841269841269841,1793.6507936507937,0.0,0.0,9469.999999999995,0.3333333333333333,0.0,0.06349206349206349
weekday,Thursday,63,21,0.9682539682539683,1.0,885.7142857142857,0.0,0.0,5219.999999999997,0.5,0.0,0.031746031746031744
weekday,Tuesday,60,20,1.0,1.0,1123.3333333333333,0.0,0.0,6119.999999999999,,,0.0
weekday,Wednesday,60,20,0.9833333333333333,0.9833333333333333,1240.0,0.0,0.0,7534.999999999998,0.75,0.0,0.016666666666666666
