metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
hit_at_2,wilcoxon,33,33,33,1.0,0.9393939393939394,0.06060606060606055,0.0,0.15151515151515152,0.15729920705028502,0.35372615062830515,small,anomaly_direction,high_anomaly,1.0,0.25969087424269927,False,False,False
loss_value,wilcoxon,33,33,33,1560.6060606060605,766.6666666666666,793.9393939393939,-1160.681818181818,3406.060606060606,0.8886378608950078,0.16407462187291846,negligible,anomaly_direction,high_anomaly,1.0,0.9963515410034937,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,3,3,0,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,,1.6329931618554523,large,anomaly_direction,high_anomaly,,,False,False,False
hit_at_2,wilcoxon,24,24,24,0.9583333333333334,0.75,0.20833333333333337,0.0,0.4166666666666667,0.05878172135535886,0.6047942471824087,medium,anomaly_direction,low_anomaly,1.0,0.10874618450741388,False,False,False
loss_value,wilcoxon,24,24,24,241.66666666666666,2637.5,-2395.8333333333335,-4245.9375,-816.6666666666666,0.012515318690073973,-0.7479404331045912,medium,anomaly_direction,low_anomaly,0.463066791532737,0.0463066791532737,True,True,False
rank2_rescue_on_miss1,mannwhitneyu,1,8,0,0.0,0.25,-0.25,-0.625,0.0,,,na,anomaly_direction,low_anomaly,,,False,False,False
hit_at_2,wilcoxon,375,375,375,0.992,0.864,0.128,0.096,0.16266666666666665,1.1352143584921891e-11,0.5104193287449669,medium,anomaly_direction,normal,4.2002931264211e-10,4.2002931264211e-10,True,True,True
loss_value,wilcoxon,375,375,375,904.8,1935.7333333333333,-1030.9333333333334,-1578.68,-513.0200000000003,9.424331593684905e-06,-0.2400808296034227,small,anomaly_direction,normal,0.0003487002689663415,0.00017435013448317076,True,True,True
rank2_rescue_on_miss1,mannwhitneyu,18,75,0,0.6666666666666666,0.30666666666666664,0.36,0.11333333333333334,0.6066666666666667,0.004952713062273493,0.768932171580809,medium,anomaly_direction,normal,0.18325038330411925,0.03054173055068654,True,True,False
hit_at_2,mannwhitneyu,420,282,276,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,420,282,276,859.047619047619,678.0141843971631,181.0334346504559,-117.40942028985508,829.0217391304345,0.5582178712777148,0.053626416736028276,negligible,difficulty_failure,hit_day,1.0,0.712209008181912,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,18,23,0,0.8333333333333334,0.9565217391304348,-0.12318840579710144,-0.33333333333333337,0.050724637681159424,0.20141741242425837,-0.4137923831578985,small,difficulty_failure,hit_day,1.0,0.30519517126894136,False,False,False
hit_at_2,mannwhitneyu,12,150,6,0.6666666666666666,0.6066666666666667,0.05999999999999994,-0.21666666666666662,0.31666666666666665,0.6853283418096381,0.12237891592902157,negligible,difficulty_failure,miss_day,1.0,0.8179725369986003,False,False,False
loss_value,mannwhitneyu,12,150,6,2983.3333333333335,4155.333333333333,-1171.9999999999995,-3414.741666666667,1274.5083333333325,0.9861240925422745,-0.18207057646003524,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,4,63,0,0.0,0.06349206349206349,-0.06349206349206349,-0.12698412698412698,-0.015873015873015872,,-0.26447851237521275,small,difficulty_failure,miss_day,,,False,False,False
hit_at_2,wilcoxon,108,108,31,0.9629629629629629,0.5648148148148148,0.39814814814814814,0.0967741935483871,0.45161290322580644,0.011412036386001648,1.0563991014801457,large,pred_span_quartile,Q1,0.42224534628206095,0.0463066791532737,True,True,False
loss_value,wilcoxon,108,108,31,2768.5185185185187,5454.62962962963,-2686.111111111111,-4929.8387096774195,945.1612903225806,0.032111871325279415,-0.3860577065284168,small,pred_span_quartile,Q1,1.0,0.06967275446741678,True,False,False
rank2_rescue_on_miss1,mannwhitneyu,12,63,0,0.4166666666666667,0.23809523809523808,0.1785714285714286,-0.11507936507936506,0.4803571428571418,0.2062129535600955,0.4028278817457851,small,pred_span_quartile,Q1,1.0,0.30519517126894136,False,False,False
