metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
hit_at_2,wilcoxon,33,33,33,1.0,0.9393939393939394,0.06060606060606055,0.0,0.15151515151515152,0.15729920705028502,0.35372615062830515,small,anomaly_direction,high_anomaly,1.0,0.23891560430328332,False,False,False
loss_value,wilcoxon,33,33,33,496.969696969697,766.6666666666666,-269.69696969696963,-1475.9848484848485,712.1969696969693,0.6120898800892568,-0.11722440828618261,negligible,anomaly_direction,high_anomaly,1.0,0.7305588891387904,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,3,3,0,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,,1.6329931618554523,large,anomaly_direction,high_anomaly,,,False,False,False
hit_at_2,wilcoxon,24,24,24,0.9583333333333334,0.75,0.20833333333333337,0.0,0.4166666666666667,0.05878172135535886,0.6047942471824087,medium,anomaly_direction,low_anomaly,1.0,0.11446966790254094,False,False,False
loss_value,wilcoxon,24,24,24,241.66666666666666,2637.5,-2395.8333333333335,-4245.9375,-816.6666666666666,0.012515318690073973,-0.7479404331045912,medium,anomaly_direction,low_anomaly,0.463066791532737,0.04209698104843063,True,True,False
rank2_rescue_on_miss1,mannwhitneyu,3,8,0,0.6666666666666666,0.25,0.41666666666666663,-0.25,1.0,,0.8492077756084467,large,anomaly_direction,low_anomaly,,,False,False,False
hit_at_2,wilcoxon,375,375,375,0.992,0.864,0.128,0.096,0.16266666666666665,1.1352143584921891e-11,0.5104193287449669,medium,anomaly_direction,normal,4.2002931264211e-10,4.2002931264211e-10,True,True,True
loss_value,wilcoxon,375,375,375,847.2,1935.7333333333333,-1088.5333333333333,-1653.8999999999999,-544.4333333333338,1.0354371486958512e-05,-0.25786197263288496,small,anomaly_direction,normal,0.00038311174501746493,0.00019155587250873246,True,True,True
rank2_rescue_on_miss1,mannwhitneyu,20,75,0,0.7,0.30666666666666664,0.3933333333333333,0.16333333333333339,0.6066666666666667,0.0014582368858650024,0.8450854537988269,large,anomaly_direction,normal,0.05395476477700509,0.008127073314121061,True,True,False
hit_at_2,mannwhitneyu,420,282,276,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,420,282,276,721.4285714285714,678.0141843971631,43.414387031408296,-168.84963768115944,631.9021739130434,0.42333964158244364,0.014458786820002853,negligible,difficulty_failure,hit_day,1.0,0.5524999438151107,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,22,23,0,0.8636363636363636,0.9565217391304348,-0.09288537549407117,-0.2727272727272727,0.04436758893280145,0.2894986935641761,-0.3233885215382328,small,difficulty_failure,hit_day,1.0,0.4119789100720968,False,False,False
hit_at_2,mannwhitneyu,12,150,6,0.6666666666666666,0.6066666666666667,0.05999999999999994,-0.21666666666666662,0.31666666666666665,0.6853283418096381,0.12237891592902157,negligible,difficulty_failure,miss_day,1.0,0.792410895217394,False,False,False
loss_value,mannwhitneyu,12,150,6,3075.0,4155.333333333333,-1080.333333333333,-3362.2916666666665,1459.6999999999962,1.0,-0.1676044514935881,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,4,63,0,0.0,0.06349206349206349,-0.06349206349206349,-0.12698412698412698,-0.015873015873015872,,-0.26447851237521275,small,difficulty_failure,miss_day,,,False,False,False
hit_at_2,wilcoxon,108,108,31,0.9629629629629629,0.5648148148148148,0.39814814814814814,0.12903225806451613,0.4838709677419355,0.006655605482949377,1.0563991014801457,large,pred_span_quartile,Q1,0.24625740286912695,0.03015859489595999,True,True,False
loss_value,wilcoxon,108,108,31,2350.0,5454.62962962963,-3104.6296296296296,-3951.6935483870966,1651.6935483870961,0.06418280522996705,-0.47741577992171036,small,pred_span_quartile,Q1,1.0,0.11873818967543906,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,17,63,0,0.6470588235294118,0.23809523809523808,0.4089635854341737,0.13071895424836605,0.6536414565826327,0.0015375544107796603,0.9230627711172629,large,pred_span_quartile,Q1,0.05688951319884743,0.008127073314121061,True,True,False
hit_at_2,wilcoxon,108,108,23,1.0,0.9259259259259259,0.07407407407407407,0.0,0.21739130434782608,0.15729920705028502,0.3981438414926426,small,pred_span_quartile,Q2,1.0,0.23891560430328332,False,False,False
