condition,difficulty,n_pairs,n_miss1,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate,loss_when_miss1_p50,loss_when_miss1_p75
anomaly_direction,high_anomaly,33,3,1.0,,0.0,0.0,2100.0
anomaly_direction,low_anomaly,24,3,0.6666666666666666,0.0,0.041666666666666664,1000.0,2900.0
anomaly_direction,normal,375,20,0.7,0.0,0.016,100.0,5200.0
difficulty_failure,hit_day,420,22,0.8636363636363636,0.0,0.007142857142857143,0.0,1350.0
difficulty_failure,miss_day,12,4,0.0,0.0,0.3333333333333333,7250.0,10200.0
pred_span_quartile,Q1,108,17,0.6470588235294118,0.0,0.05555555555555555,1400.0,4800.0
pred_span_quartile,Q2,108,7,0.8571428571428571,0.0,0.009259259259259259,0.0,700.0
pred_span_quartile,Q3,108,2,1.0,,0.0,0.0,0.0
pred_span_quartile,Q4,108,0,,,0.0,,
weekday,Friday,63,4,1.0,,0.0,0.0,1050.0
weekday,Monday,60,1,1.0,,0.0,0.0,0.0
weekday,Saturday,63,3,1.0,,0.0,0.0,500.0
weekday,Sunday,63,7,0.42857142857142855,0.0,0.06349206349206349,4800.0,13250.0
weekday,Thursday,63,4,0.5,0.0,0.031746031746031744,2400.0,5125.0
weekday,Tuesday,60,3,1.0,,0.0,200.0,1950.0
weekday,Wednesday,60,4,0.75,0.0,0.016666666666666666,0.0,2925.0
