metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
hit_at_2,wilcoxon,33,33,33,1.0,0.9393939393939394,0.06060606060606055,0.0,0.15151515151515152,0.15729920705028502,0.35372615062830515,small,anomaly_direction,high_anomaly,1.0,0.25304655047219765,False,False,False
loss_value,wilcoxon,33,33,33,2157.5757575757575,766.6666666666666,1390.909090909091,-809.3939393939394,4084.924242424242,0.5146697234497355,0.2730198667341201,small,anomaly_direction,high_anomaly,1.0,0.6347593255880071,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,5,3,0,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,,2.0,large,anomaly_direction,high_anomaly,,,False,False,False
hit_at_2,wilcoxon,24,24,24,0.9583333333333334,0.75,0.20833333333333337,0.0,0.4166666666666667,0.05878172135535886,0.6047942471824087,medium,anomaly_direction,low_anomaly,1.0,0.11446966790254094,False,False,False
loss_value,wilcoxon,24,24,24,241.66666666666666,2637.5,-2395.8333333333335,-4245.9375,-816.6666666666666,0.012515318690073973,-0.7479404331045912,medium,anomaly_direction,low_anomaly,0.463066791532737,0.04209698104843063,True,True,False
rank2_rescue_on_miss1,mannwhitneyu,3,8,0,0.6666666666666666,0.25,0.41666666666666663,-0.25,1.0,,0.8492077756084467,large,anomaly_direction,low_anomaly,,,False,False,False
hit_at_2,wilcoxon,375,375,375,0.992,0.864,0.128,0.096,0.16266666666666665,1.1352143584921891e-11,0.5104193287449669,medium,anomaly_direction,normal,4.2002931264211e-10,4.2002931264211e-10,True,True,True
loss_value,wilcoxon,375,375,375,832.5333333333333,1935.7333333333333,-1103.2,-1645.4133333333332,-588.5333333333333,9.892918211128475e-06,-0.2761698710251346,small,anomaly_direction,normal,0.0003660379738117536,0.0001830189869058768,True,True,True
rank2_rescue_on_miss1,mannwhitneyu,16,75,0,0.625,0.30666666666666664,0.31833333333333336,0.05083333333333334,0.5684374999999995,0.017080075595235403,0.676675967491069,medium,anomaly_direction,normal,0.6319627970237099,0.0526635664186425,True,False,False
hit_at_2,mannwhitneyu,420,282,276,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,420,282,276,841.4285714285714,678.0141843971631,163.4143870314083,-119.65579710144927,699.3478260869562,0.20739777023221617,0.05437693368914293,negligible,difficulty_failure,hit_day,1.0,0.300948339230573,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,20,23,0,0.85,0.9565217391304348,-0.10652173913043483,-0.30000000000000004,0.04347826086956519,0.24554139825229715,-0.3642435825417405,small,difficulty_failure,hit_day,1.0,0.33648265686425904,False,False,False
hit_at_2,mannwhitneyu,12,150,6,0.6666666666666666,0.6066666666666667,0.05999999999999994,-0.21666666666666662,0.31666666666666665,0.6853283418096381,0.12237891592902157,negligible,difficulty_failure,miss_day,1.0,0.8179725369986003,False,False,False
loss_value,mannwhitneyu,12,150,6,2983.3333333333335,4155.333333333333,-1171.9999999999995,-3414.741666666667,1274.5083333333325,0.9861240925422745,-0.18207057646003524,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,4,63,0,0.0,0.06349206349206349,-0.06349206349206349,-0.12698412698412698,-0.015873015873015872,,-0.26447851237521275,small,difficulty_failure,miss_day,,,False,False,False
hit_at_2,wilcoxon,108,108,31,0.9629629629629629,0.5648148148148148,0.39814814814814814,0.1935483870967742,0.5806451612903226,0.0013406411172294783,1.0563991014801457,large,pred_span_quartile,Q1,0.0496037213374907,0.00992074426749814,True,True,True
loss_value,wilcoxon,108,108,31,2599.074074074074,5454.62962962963,-2855.5555555555557,-6371.209677419355,-1364.1935483870984,0.005781128392833709,-0.44855571348255574,small,pred_span_quartile,Q1,0.21390175053484722,0.026737718816855903,True,True,False
rank2_rescue_on_miss1,mannwhitneyu,13,63,0,0.5384615384615384,0.23809523809523808,0.30036630036630035,0.02197802197802201,0.5921855921855922,0.03147380159637423,0.6748540313829657,medium,pred_span_quartile,Q1,1.0,0.07838184877584388,True,False,False
hit_at_2,wilcoxon,108,108,22,1.0,0.9259259259259259,0.07407407407407407,0.0,0.22727272727272727,0.15729920705028502,0.3981438414926426,small,pred_span_quartile,Q2,1.0,0.25304655047219765,False,False,False
loss_value,wilcoxon,108,108,22,888.8888888888889,1580.5555555555557,-691.6666666666667,-1354.8863636363635,1722.9545454545441,0.20757844233562428,-0.1968338850030487,negligible,pred_span_quartile,Q2,1.0,0.300948339230573,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,11,16,0,0.9090909090909091,0.5,0.40909090909090906,0.10227272727272729,0.6875,0.03203035507019457,0.9231861823449954,large,pred_span_quartile,Q2,1.0,0.07838184877584388,True,False,False
hit_at_2,wilcoxon,108,108,32,1.0,0.9629629629629629,0.03703703703703709,0.0,0.09375,0.31731050786291415,0.27606308375229466,small,pred_span_quartile,Q3,1.0,0.4193031711045651,False,False,False
loss_value,wilcoxon,108,108,32,103.70370370370371,494.44444444444446,-390.74074074074076,-1022.265625,96.875,0.4652088184521418,-0.27526984020738515,small,pred_span_quartile,Q3,1.0,0.5935422856113534,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,0,7,0,,0.42857142857142855,,,,,,na,pred_span_quartile,Q3,,,False,False,False
hit_at_2,mannwhitneyu,108,108,48,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q4,1.0,1.0,False,False,False
loss_value,mannwhitneyu,108,108,48,12.037037037037036,12.037037037037036,0.0,-36.111111111111114,36.111111111111114,1.0,0.0,negligible,pred_span_quartile,Q4,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,0,0,0,,,,,,,,na,pred_span_quartile,Q4,,,False,False,False
hit_at_2,wilcoxon,63,63,63,1.0,0.8888888888888888,0.11111111111111116,0.031746031746031744,0.19047619047619047,0.0081509715935027,0.4960158727618968,small,weekday,Friday,0.3015859489595999,0.03015859489595999,True,True,False
loss_value,wilcoxon,63,63,63,742.8571428571429,1814.2857142857142,-1071.4285714285713,-2468.4126984126983,98.61111111111003,0.08938227627855934,-0.29772360673635406,small,weekday,Friday,1.0,0.16535721111533477,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,2,12,0,1.0,0.4166666666666667,0.5833333333333333,0.33333333333333337,0.8333333333333334,,1.183215956619923,large,weekday,Friday,,,False,False,False
hit_at_2,wilcoxon,60,60,60,1.0,0.7833333333333333,0.21666666666666667,0.11666666666666667,0.31666666666666665,0.0003114909767673833,0.7375443249091365,medium,weekday,Monday,0.011525166140393183,0.0038417220467977277,True,True,True
loss_value,wilcoxon,60,60,60,1043.3333333333333,1485.0,-441.66666666666674,-1648.4166666666665,926.708333333333,0.10799702460436883,-0.12736496015567775,negligible,weekday,Monday,1.0,0.19028047192198316,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,1,16,0,1.0,0.1875,0.8125,0.625,1.0,,,na,weekday,Monday,,,False,False,False
hit_at_2,wilcoxon,63,63,63,1.0,0.8888888888888888,0.11111111111111116,0.031746031746031744,0.19047619047619047,0.0081509715935027,0.4960158727618968,small,weekday,Saturday,0.3015859489595999,0.03015859489595999,True,True,False
loss_value,wilcoxon,63,63,63,295.23809523809524,1046.031746031746,-750.7936507936508,-1684.1666666666667,100.11904761904697,0.04798974969495945,-0.30882574219414294,small,weekday,Saturday,1.0,0.10444827874785292,True,False,False
rank2_rescue_on_miss1,mannwhitneyu,4,10,0,1.0,0.3,0.7,0.4,1.0,,1.6733200530681511,large,weekday,Saturday,,,False,False,False
hit_at_2,wilcoxon,63,63,63,0.9841269841269841,0.8888888888888888,0.09523809523809523,0.015873015873015872,0.19047619047619047,0.033894853524689246,0.3950607572108116,small,weekday,Sunday,1.0,0.07838184877584388,True,False,False
loss_value,wilcoxon,63,63,63,1403.1746031746031,3098.4126984126983,-1695.2380952380952,-2828.7301587301586,-630.0396825396831,0.0047570750921688805,-0.33583202757609965,small,weekday,Sunday,0.1760117784102486,0.025144539772892657,True,True,False
rank2_rescue_on_miss1,mannwhitneyu,8,10,0,0.5,0.2,0.3,-0.15000000000000002,0.75,0.21147721135121345,0.6324555320336758,medium,weekday,Sunday,1.0,0.300948339230573,False,False,False
hit_at_2,wilcoxon,63,63,63,0.9682539682539683,0.8888888888888888,0.07936507936507942,0.0,0.15873015873015872,0.05878172135535886,0.3094062004865322,small,weekday,Thursday,1.0,0.11446966790254094,False,False,False
loss_value,wilcoxon,63,63,63,704.7619047619048,1419.047619047619,-714.2857142857142,-2223.8492063492063,546.0714285714283,0.856282687653342,-0.17940593803746338,negligible,weekday,Thursday,1.0,0.9900768575991767,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,3,12,0,0.3333333333333333,0.4166666666666667,-0.08333333333333337,-0.5833333333333334,0.5833333333333333,,-0.15872554441428902,negligible,weekday,Thursday,,,False,False,False
hit_at_2,wilcoxon,60,60,60,1.0,0.9166666666666666,0.08333333333333337,0.016666666666666666,0.15,0.025347318677468252,0.42283315715288805,small,weekday,Tuesday,0.9378507910663253,0.07214236854356348,True,False,False
loss_value,wilcoxon,60,60,60,1321.6666666666667,961.6666666666666,360.0000000000001,-735.3333333333334,1848.416666666666,0.9861344018198014,0.09558932840237411,negligible,weekday,Tuesday,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,2,9,0,1.0,0.4444444444444444,0.5555555555555556,0.2222222222222222,0.8888888888888888,,1.118033988749895,large,weekday,Tuesday,,,False,False,False
hit_at_2,wilcoxon,60,60,60,0.9833333333333333,0.7833333333333333,0.19999999999999996,0.1,0.31666666666666665,0.0005320055051392492,0.6501434973636043,medium,weekday,Wednesday,0.01968420369015222,0.004921050922538055,True,True,True
loss_value,wilcoxon,60,60,60,818.3333333333334,3381.6666666666665,-2563.333333333333,-4381.916666666667,-979.8750000000007,0.0037783360489364918,-0.4898663774019435,small,weekday,Wednesday,0.13979843381065019,0.0232997389684417,True,True,False
rank2_rescue_on_miss1,mannwhitneyu,4,17,0,0.75,0.23529411764705882,0.5147058823529411,0.01470588235294118,0.8823529411764706,,1.1495834595042065,large,weekday,Wednesday,,,False,False,False
