metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
hit_at_2,mannwhitneyu,33,33,33,1.0,1.0,0.0,0.0,0.0,1.0,,na,anomaly_direction,high_anomaly,1.0,1.0,False,False,False
loss_value,wilcoxon,33,33,33,1721.2121212121212,1900.0,-178.78787878787875,-1184.9242424242423,700.0757575757572,0.892738400944348,-0.027505547001970776,negligible,anomaly_direction,high_anomaly,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,4,2,0,1.0,1.0,0.0,0.0,0.0,,,na,anomaly_direction,high_anomaly,,,False,False,False
hit_at_2,mannwhitneyu,24,24,24,0.9583333333333334,0.9583333333333334,0.0,-0.125,0.125,1.0,0.0,negligible,anomaly_direction,low_anomaly,1.0,1.0,False,False,False
loss_value,wilcoxon,24,24,24,241.66666666666666,275.0,-33.33333333333334,-100.0,0.0,0.31731050786291415,-0.0335147554781741,negligible,anomaly_direction,low_anomaly,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,2,2,0,0.5,0.5,0.0,-1.0,1.0,,0.0,negligible,anomaly_direction,low_anomaly,,,False,False,False
hit_at_2,wilcoxon,375,375,375,0.9946666666666667,0.9946666666666667,0.0,-0.008,0.008,1.0,0.0,negligible,anomaly_direction,normal,1.0,1.0,False,False,False
loss_value,wilcoxon,375,375,375,826.6666666666666,861.3333333333334,-34.66666666666674,-413.06666666666666,392.3199999999997,0.08099497615311325,-0.009931622895863142,negligible,anomaly_direction,normal,1.0,0.9989380392217302,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,16,19,0,0.8125,0.7894736842105263,0.023026315789473673,-0.2598684210526315,0.29605263157894735,0.8860324879945909,0.05591985818393353,negligible,anomaly_direction,normal,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,423,423,420,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,423,423,420,834.0425531914893,813.4751773049645,20.567375886524815,-289.8392857142857,379.19642857142776,0.11688892728433464,0.00566164382736044,negligible,difficulty_failure,hit_day,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,19,19,0,0.9473684210526315,0.8947368421052632,0.05263157894736836,-0.10526315789473684,0.21052631578947367,0.5738613331513637,0.19088542889273313,negligible,difficulty_failure,hit_day,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,9,9,6,0.6666666666666666,0.6666666666666666,0.0,-0.4444444444444444,0.4444444444444444,1.0,0.0,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
loss_value,mannwhitneyu,9,9,6,2200.0,5355.555555555556,-3155.5555555555557,-9279.444444444443,1722.7777777777746,0.5390349878395031,-0.5137686522114433,medium,difficulty_failure,miss_day,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,3,4,0,0.0,0.25,-0.25,-0.75,0.0,,-0.6454972243679028,medium,difficulty_failure,miss_day,,,False,False,False
hit_at_2,wilcoxon,108,108,82,0.9722222222222222,0.9722222222222222,0.0,-0.036585365853658534,0.036585365853658534,1.0,0.0,negligible,pred_span_quartile,Q1,1.0,1.0,False,False,False
loss_value,wilcoxon,108,108,82,3020.3703703703704,2699.074074074074,321.29629629629653,-1495.701219512195,1167.1951219512189,0.5277266198659963,0.04810330706314419,negligible,pred_span_quartile,Q1,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,12,13,0,0.6666666666666666,0.6923076923076923,-0.02564102564102566,-0.41682692307692304,0.3717948717948718,0.9196291134973918,-0.052742860991635394,negligible,pred_span_quartile,Q1,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,108,108,69,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q2,1.0,1.0,False,False,False
loss_value,wilcoxon,108,108,69,325.0,850.0,-525.0,-888.4057971014493,-17.391304347826086,0.06297905121445523,-0.22384434956692226,small,pred_span_quartile,Q2,1.0,0.9989380392217302,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,7,10,0,1.0,0.9,0.09999999999999998,0.0,0.30000000000000004,0.47328946538009,0.4082482904638629,small,pred_span_quartile,Q2,1.0,1.0,False,False,False
