metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
critical_miss_rate,wilcoxon,57,57,57,0.017543859649122806,0.14035087719298245,-0.12280701754385964,-0.22807017543859648,-0.03508771929824561,0.019630657257290667,-0.4635863249727653,small,anomaly_direction,anomaly,0.706703661262464,0.05047883294731886,True,False,False
hit_at_2,wilcoxon,57,57,57,0.9824561403508771,0.8596491228070176,0.12280701754385959,0.03508771929824561,0.22807017543859648,0.019630657257290667,0.4635863249727651,small,anomaly_direction,anomaly,0.706703661262464,0.05047883294731886,True,False,False
loss_value,wilcoxon,57,57,57,1114.0350877192982,1554.3859649122808,-440.3508771929826,-1943.859649122807,1328.0701754385964,0.11277865463569872,-0.10161414116845689,negligible,anomaly_direction,anomaly,1.0,0.20300157834425772,False,False,False
critical_miss_rate,wilcoxon,375,375,375,0.016,0.13866666666666666,-0.12266666666666666,-0.16,-0.088,1.7818723327580102e-10,-0.4711963724311231,small,anomaly_direction,normal,6.414740397928837e-09,3.2073701989644186e-09,True,True,True
hit_at_2,wilcoxon,375,375,375,0.992,0.864,0.128,0.09333333333333334,0.16266666666666665,1.1352143584921891e-11,0.5104193287449669,medium,anomaly_direction,normal,4.086771690571881e-10,4.086771690571881e-10,True,True,True
loss_value,wilcoxon,375,375,375,888.0,1935.7333333333333,-1047.7333333333333,-1614.1666666666667,-502.1333333333333,1.1504966179336261e-05,-0.24141468085637224,small,anomaly_direction,normal,0.0004141787824561054,8.283575649122108e-05,True,True,True
critical_miss_rate,wilcoxon,420,282,276,0.007142857142857143,0.0035460992907801418,0.003596757852077001,0.0,0.018115942028985508,0.15729920705028502,0.047729872056271494,negligible,difficulty_failure,hit_day,1.0,0.2696557835147743,False,False,False
hit_at_2,mannwhitneyu,420,282,276,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,420,282,276,795.4761904761905,678.0141843971631,117.46200607902733,-126.45833333333333,823.1884057971015,0.5272692158858048,0.03564962135650412,negligible,difficulty_failure,hit_day,1.0,0.6545410955823784,False,False,False
critical_miss_rate,mannwhitneyu,12,150,6,0.3333333333333333,0.3933333333333333,-0.06,-0.32333333333333336,0.22666666666666663,0.6853283418096381,-0.12237891592902168,negligible,difficulty_failure,miss_day,1.0,0.7958651711337733,False,False,False
hit_at_2,mannwhitneyu,12,150,6,0.6666666666666666,0.6066666666666667,0.05999999999999994,-0.22666666666666674,0.32333333333333325,0.6853283418096381,0.12237891592902157,negligible,difficulty_failure,miss_day,1.0,0.7958651711337733,False,False,False
loss_value,mannwhitneyu,12,150,6,5200.0,4155.333333333333,1044.666666666667,-2981.666666666666,6018.291666666662,0.7253533154595003,0.15581488453932407,negligible,difficulty_failure,miss_day,1.0,0.8160224798919379,False,False,False
critical_miss_rate,wilcoxon,108,108,27,0.046296296296296294,0.4444444444444444,-0.39814814814814814,-0.37037037037037035,0.0,0.05878172135535886,-1.0388278286192436,large,pred_span_quartile,Q1,1.0,0.11756344271071772,False,False,False
hit_at_2,wilcoxon,108,108,27,0.9722222222222222,0.5648148148148148,0.40740740740740744,0.07407407407407407,0.37037037037037035,0.014305878435429648,1.0979880102687596,large,pred_span_quartile,Q1,0.5150116236754674,0.04681923851595158,True,True,False
