date,weekday,top1_digit,top1_mean,top2_digit,top2_mean,top1_top2_distance
2025-07-07,月,2,3230.56,7,3190.14,5
2025-07-08,火,2,1359.72,6,950.7,4
2025-07-09,水,3,2894.37,4,1746.48,1
2025-07-10,木,6,1601.41,5,1233.8,1
2025-07-11,金,6,1222.54,4,949.3,2
2025-07-12,土,6,3526.76,5,1366.2,1
2025-07-13,日,1,1181.08,9,1138.03,2
2025-07-14,月,3,1074.65,2,1029.17,1
2025-07-15,火,4,1057.75,6,1030.99,2
2025-07-16,水,7,1574.65,1,1509.46,4
2025-07-17,木,8,1247.89,2,995.83,4
2025-07-18,金,5,971.83,0,940.28,5
2025-07-19,土,8,1525.35,9,1146.48,1
2025-07-20,日,9,1052.11,8,1023.94,1
2025-07-21,月,1,1232.43,9,933.8,2
2025-07-22,火,3,963.38,9,663.38,4
2025-07-23,水,8,1652.11,4,616.9,4
2025-07-24,木,0,719.44,3,653.52,3
2025-07-25,金,6,674.65,9,649.3,3
2025-07-26,土,7,1067.61,9,809.86,2
2025-07-27,日,6,787.32,9,759.15,3
2025-07-28,月,5,671.83,9,385.92,4
2025-07-29,火,7,1128.17,6,756.34,1
2025-07-30,水,8,1053.52,9,595.77,1
2025-07-31,木,7,850.7,1,755.41,4
2025-08-01,金,6,1126.76,7,857.75,1
2025-08-02,土,1,1025.68,9,709.86,2
2025-08-03,日,3,1076.06,6,767.61,3
2025-08-04,月,4,901.41,1,722.97,3
2025-08-05,火,2,1183.33,5,1077.46,3
2025-08-06,水,1,1510.81,8,1338.03,3
2025-08-07,木,8,1130.99,2,768.06,4
2025-08-08,金,6,978.87,8,761.97,2
2025-08-09,土,9,977.46,8,569.01,1
2025-08-10,日,6,545.07,4,480.28,2
2025-08-11,月,2,1230.56,0,988.89,2
2025-08-12,火,5,874.65,6,518.31,1
2025-08-13,水,5,1045.07,0,738.89,5
2025-08-14,木,7,874.65,9,730.99,2
2025-08-15,金,1,717.57,8,464.79,3
2025-08-16,土,3,745.07,8,708.45,5
2025-08-17,日,6,684.51,9,347.89,3
2025-08-18,月,2,436.11,7,397.18,5
2025-08-19,火,6,645.07,9,469.01,3
2025-08-20,水,8,1319.72,5,491.55,3
2025-08-21,木,4,528.17,9,342.25,5
2025-08-22,金,7,964.79,8,692.96,1
2025-08-23,土,3,745.07,7,630.99,4
2025-08-24,日,8,583.1,0,579.17,2
2025-08-25,月,0,966.67,1,671.62,1
2025-08-26,火,4,863.38,7,663.38,3
2025-08-27,水,3,1301.41,9,1040.85,4
2025-08-28,木,7,649.3,1,559.46,4
2025-08-29,金,6,677.46,8,649.3,2
2025-08-30,土,3,767.61,8,705.63,5
2025-08-31,日,3,592.96,2,580.56,1
2025-09-01,月,5,426.76,2,41.67,3
2025-09-02,火,8,571.83,6,456.34,2
2025-09-03,水,4,1238.03,5,743.66,1
