condition,last_digit,mean_diff,n_days
土曜,5,209.1855480710349,46
土曜,6,307.8383343539498,46
土曜,7,224.31108389467238,46
土曜,8,230.18983466013472,46
土曜,9,211.32884262094305,46
水曜,5,168.46295162278017,46
水曜,6,167.2075933864054,46
水曜,7,139.55909369259032,46
水曜,8,254.6846295162278,46
水曜,9,235.9461114513166,46
7含む日,5,180.46540110226576,23
7含む日,6,367.48315982853643,23
7含む日,7,315.00306184935704,23
7含む日,8,427.06674831598286,23
7含む日,9,349.90814451928964,23
その他,5,170.97904500171762,205
その他,6,216.70903469598076,205
その他,7,180.37100652696668,205
その他,8,196.91514943318447,205
その他,9,204.85743730676742,205
