analysis_type,group_a,group_b,statistic,p_value,is_significant
kruskal_weekday,ALL,,6.6243964229800785,0.3569826012292965,0
kruskal_last_digit,ALL,,17.674383858557842,0.03914479927409324,1
posthoc_last_digit,0,1,272817875.5,0.9867093207565365,0
posthoc_last_digit,0,2,264741437.0,0.6341454601999621,0
posthoc_last_digit,0,3,263958366.0,0.1154144533280729,0
posthoc_last_digit,0,4,261867288.5,0.9250536682691413,0
posthoc_last_digit,0,5,261901395.5,0.9058981976651737,0
posthoc_last_digit,0,6,259524429.5,0.1177195513413428,0
posthoc_last_digit,0,7,261914096.0,0.8987785644924753,0
posthoc_last_digit,0,8,259489370.5,0.11200859996888406,0
posthoc_last_digit,0,9,259640812.0,0.1383334509172512,0
posthoc_last_digit,1,2,272092947.5,0.6306535699241573,0
posthoc_last_digit,1,3,271296146.5,0.11209007250395138,0
posthoc_last_digit,1,4,269128610.0,0.9315837958969753,0
posthoc_last_digit,1,5,269171264.5,0.9081042801147923,0
posthoc_last_digit,1,6,266747161.5,0.11746493425789484,0
posthoc_last_digit,1,7,269191002.5,0.8972651969050153,0
posthoc_last_digit,1,8,266681516.5,0.10717594393898627,0
posthoc_last_digit,1,9,266833590.5,0.13217880819954775,0
posthoc_last_digit,2,3,264612323.0,0.04162538174682267,1
posthoc_last_digit,2,4,262532548.0,0.5720736443548717,0
posthoc_last_digit,2,5,262569689.5,0.5543244900184985,0
posthoc_last_digit,2,6,260210814.5,0.280795772919025,0
posthoc_last_digit,2,7,262592957.0,0.5433443200451482,0
posthoc_last_digit,2,8,260160270.0,0.26514666133467835,0
posthoc_last_digit,2,9,260311935.0,0.31396032570961785,0
posthoc_last_digit,3,4,256045988.5,0.14189042206920094,0
posthoc_last_digit,3,5,256069329.5,0.14647621611774245,0
posthoc_last_digit,3,6,253762782.5,0.0019214210252304906,1
posthoc_last_digit,3,7,256101659.0,0.15301451082371045,0
posthoc_last_digit,3,8,253685840.5,0.0015932155346252421,1
posthoc_last_digit,3,9,253838173.0,0.0023023799861516675,1
posthoc_last_digit,4,5,258138877.0,0.9773565895885962,0
posthoc_last_digit,4,6,255794401.0,0.09919400206858353,0
posthoc_last_digit,4,7,258160885.5,0.9648030141466549,0
posthoc_last_digit,4,8,255753581.5,0.0933534062802847,0
posthoc_last_digit,4,9,255895170.0,0.11486917650077999,0
posthoc_last_digit,5,6,255751367.0,0.0930430411617026,0
posthoc_last_digit,5,7,258120433.0,0.9878814238067942,0
posthoc_last_digit,5,8,255703559.0,0.08657410159199332,0
posthoc_last_digit,5,9,255848137.0,0.10732648699515131,0
posthoc_last_digit,6,7,260469605.0,0.08994137663478174,0
posthoc_last_digit,6,8,258055643.5,0.9751431667284681,0
posthoc_last_digit,6,9,258195641.5,0.9449971535813104,0
posthoc_last_digit,7,8,255694466.5,0.08538560346779261,0
posthoc_last_digit,7,9,255842901.0,0.1065116159183532,0
posthoc_last_digit,8,9,258240993.0,0.9192067247860103,0
