metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
critical_miss_rate,wilcoxon,57,57,57,0.0,0.017543859649122806,-0.017543859649122806,-0.05263157894736842,0.0,0.31731050786291415,-0.1873171623163388,negligible,anomaly_direction,anomaly,1.0,0.6814846418790482,False,False,False
hit_at_2,wilcoxon,57,57,57,1.0,0.9824561403508771,0.01754385964912286,0.0,0.05263157894736842,0.31731050786291415,0.18731716231633938,negligible,anomaly_direction,anomaly,1.0,0.6814846418790482,False,False,False
loss_value,wilcoxon,57,57,57,1084.2105263157894,1215.7894736842106,-131.57894736842127,-733.3333333333334,382.4561403508772,0.4652088184521418,-0.02624702060322126,negligible,anomaly_direction,anomaly,1.0,0.8814482875935319,False,False,False
critical_miss_rate,wilcoxon,375,375,375,0.013333333333333334,0.010666666666666666,0.002666666666666668,-0.005333333333333333,0.010666666666666666,0.5637028616507731,0.024459769907568926,negligible,anomaly_direction,normal,1.0,0.8823175225838188,False,False,False
hit_at_2,wilcoxon,375,375,375,0.9893333333333333,0.9946666666666667,-0.005333333333333412,-0.013333333333333334,0.0,0.15729920705028502,-0.05981536114576765,negligible,anomaly_direction,normal,1.0,0.6814846418790482,False,False,False
loss_value,wilcoxon,375,375,375,781.8666666666667,861.3333333333334,-79.4666666666667,-337.8666666666667,180.8066666666666,0.21618399110708275,-0.02689472037121202,negligible,anomaly_direction,normal,1.0,0.6814846418790482,False,False,False
critical_miss_rate,wilcoxon,420,423,417,0.002380952380952381,0.004728132387706856,-0.0023471800067544745,-0.007194244604316547,0.0,0.31731050786291415,-0.039376967656221624,negligible,difficulty_failure,hit_day,1.0,0.6814846418790482,False,False,False
hit_at_2,mannwhitneyu,420,423,417,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,420,423,417,710.7142857142857,813.4751773049645,-102.76089159067885,-282.9796163069544,97.36810551558744,0.160716729299889,-0.03390965926347285,negligible,difficulty_failure,hit_day,1.0,0.6814846418790482,False,False,False
critical_miss_rate,mannwhitneyu,12,9,6,0.3333333333333333,0.3333333333333333,0.0,-0.41666666666666663,0.3888888888888889,1.0,0.0,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,12,9,6,0.6666666666666666,0.6666666666666666,0.0,-0.38888888888888884,0.4166666666666667,1.0,0.0,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
loss_value,mannwhitneyu,12,9,6,4708.333333333333,5355.555555555556,-647.2222222222226,-7425.069444444443,5941.666666666666,0.6447337124174612,-0.07934514744548687,negligible,difficulty_failure,miss_day,1.0,0.9671005686261919,False,False,False
critical_miss_rate,wilcoxon,108,108,82,0.046296296296296294,0.037037037037037035,0.009259259259259259,-0.024390243902439025,0.06097560975609756,0.5637028616507731,0.04613389984385539,negligible,pred_span_quartile,Q1,1.0,0.8823175225838188,False,False,False
hit_at_2,wilcoxon,108,108,82,0.9629629629629629,0.9722222222222222,-0.0092592592592593,-0.06097560975609756,0.024390243902439025,0.5637028616507731,-0.05206385484678252,negligible,pred_span_quartile,Q1,1.0,0.8823175225838188,False,False,False
loss_value,wilcoxon,108,108,82,2717.5925925925926,2699.074074074074,18.518518518518704,-820.7317073170732,1213.445121951219,0.9095609385561121,0.00329899141833528,negligible,pred_span_quartile,Q1,1.0,1.0,False,False,False
critical_miss_rate,mannwhitneyu,108,108,74,0.0,0.009259259259259259,-0.009259259259259259,-0.027777777777777776,0.0,0.32181219199843947,-0.13608276348795437,negligible,pred_span_quartile,Q2,1.0,0.6814846418790482,False,False,False
hit_at_2,mannwhitneyu,108,108,74,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q2,1.0,1.0,False,False,False
loss_value,wilcoxon,108,108,74,458.3333333333333,850.0,-391.6666666666667,-841.8918918918919,-29.72972972972973,0.06788915486182899,-0.1458646435469342,negligible,pred_span_quartile,Q2,1.0,0.6814846418790482,False,False,False
critical_miss_rate,mannwhitneyu,108,108,78,0.0,0.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q3,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,108,108,78,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q3,1.0,1.0,False,False,False
loss_value,wilcoxon,108,108,78,111.11111111111111,71.29629629629629,39.814814814814824,-15.384615384615385,0.0,0.31731050786291415,0.10817946235967603,negligible,pred_span_quartile,Q3,1.0,0.6814846418790482,False,False,False
critical_miss_rate,mannwhitneyu,108,108,94,0.0,0.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q4,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,108,108,94,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q4,1.0,1.0,False,False,False
loss_value,mannwhitneyu,108,108,94,0.0,12.037037037037036,-12.037037037037036,-36.111111111111114,0.0,0.32181219199843947,-0.1360827634879543,negligible,pred_span_quartile,Q4,1.0,0.6814846418790482,False,False,False
critical_miss_rate,mannwhitneyu,126,126,126,0.0,0.0,0.0,0.0,0.0,1.0,,na,weekday,fri_sat,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,126,126,126,1.0,1.0,0.0,0.0,0.0,1.0,,na,weekday,fri_sat,1.0,1.0,False,False,False
loss_value,wilcoxon,126,126,126,308.73015873015873,540.4761904761905,-231.74603174603175,-600.0,46.03174603174603,0.3742593192802244,-0.13756015433582236,negligible,weekday,fri_sat,1.0,0.7485186385604488,False,False,False
critical_miss_rate,wilcoxon,183,183,183,0.01092896174863388,0.00546448087431694,0.00546448087431694,0.0,0.01639344262295082,0.31731050786291415,0.06046801290782502,negligible,weekday,mon_thu,1.0,0.6814846418790482,False,False,False
hit_at_2,wilcoxon,183,183,183,0.9890710382513661,0.994535519125683,-0.005464480874316946,-0.01639344262295082,0.0,0.31731050786291415,-0.06046801290782509,negligible,weekday,mon_thu,1.0,0.6814846418790482,False,False,False
loss_value,wilcoxon,183,183,183,773.7704918032787,897.8142076502733,-124.04371584699459,-338.26502732240436,73.22404371584699,0.2552110754513822,-0.0368393313004367,negligible,weekday,mon_thu,1.0,0.6814846418790482,False,False,False
critical_miss_rate,wilcoxon,63,63,63,0.031746031746031744,0.06349206349206349,-0.031746031746031744,-0.07936507936507936,0.0,0.15729920705028502,-0.14829586794568825,negligible,weekday,sunday,1.0,0.6814846418790482,False,False,False
hit_at_2,wilcoxon,63,63,63,0.9841269841269841,0.9682539682539683,0.015873015873015817,0.0,0.047619047619047616,0.31731050786291415,0.10342645907195507,negligible,weekday,sunday,1.0,0.6814846418790482,False,False,False
loss_value,wilcoxon,63,63,63,1580.952380952381,1469.8412698412699,111.11111111111109,-1001.5873015873016,1207.97619047619,0.8752607089468505,0.025772493352142264,negligible,weekday,sunday,1.0,1.0,False,False,False
critical_miss_rate,wilcoxon,60,60,60,0.016666666666666666,0.0,0.016666666666666666,0.0,0.05,0.31731050786291415,0.18257418583505536,negligible,weekday,wednesday,1.0,0.6814846418790482,False,False,False
hit_at_2,wilcoxon,60,60,60,0.9833333333333333,1.0,-0.01666666666666672,-0.05,0.0,0.31731050786291415,-0.1825741858350559,negligible,weekday,wednesday,1.0,0.6814846418790482,False,False,False
loss_value,wilcoxon,60,60,60,1248.3333333333333,1121.6666666666667,126.66666666666652,-418.3333333333333,990.0,0.5001842570707944,0.030068066444339153,negligible,weekday,wednesday,1.0,0.8823175225838188,False,False,False
