condition,difficulty,n_pairs,n_days,hit_at_2_mean,hit_at_3_mean,loss_mean,loss_p50,loss_p75,loss_p95,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate
anomaly_direction,anomaly,57,19,0.9824561403508771,0.9824561403508771,1350.877192982456,0.0,0.0,8779.999999999995,0.875,0.0,0.017543859649122806
anomaly_direction,normal,375,125,0.992,0.9973333333333333,832.5333333333333,0.0,0.0,5400.0,0.625,0.0,0.016
difficulty_failure,hit_day,420,140,1.0,1.0,841.4285714285714,0.0,0.0,4639.999999999964,0.85,0.0,0.007142857142857143
difficulty_failure,miss_day,12,4,0.6666666666666666,0.8333333333333334,2983.3333333333335,850.0,4950.0,10105.0,0.0,0.0,0.3333333333333333
pred_span_quartile,Q1,108,82,0.9629629629629629,0.9814814814814815,2599.074074074074,0.0,2850.0,12094.99999999998,0.5384615384615384,0.0,0.05555555555555555
pred_span_quartile,Q2,108,87,1.0,1.0,888.8888888888889,0.0,0.0,3764.999999999999,0.9090909090909091,0.0,0.009259259259259259
pred_span_quartile,Q3,108,83,1.0,1.0,103.70370370370371,0.0,0.0,564.9999999999991,,,0.0
pred_span_quartile,Q4,108,85,1.0,1.0,12.037037037037036,0.0,0.0,0.0,,,0.0
weekday,fri_sat,126,42,1.0,1.0,519.047619047619,0.0,0.0,2775.0,1.0,,0.0
weekday,mon_thu,183,61,0.9890710382513661,1.0,1018.0327868852459,0.0,0.0,6080.000000000001,0.6666666666666666,0.0,0.01092896174863388
weekday,sunday,63,21,0.9841269841269841,0.9841269841269841,1403.1746031746031,0.0,0.0,9669.999999999998,0.5,0.0,0.06349206349206349
weekday,wednesday,60,20,0.9833333333333333,0.9833333333333333,818.3333333333334,0.0,0.0,5504.999999999994,0.75,0.0,0.016666666666666666
