condition,difficulty,n_pairs,n_miss1,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate,loss_when_miss1_p50,loss_when_miss1_p75
anomaly_direction,anomaly,57,8,0.875,0.0,0.017543859649122806,500.0,4350.0
anomaly_direction,normal,375,16,0.625,0.0,0.016,1300.0,10000.0
difficulty_failure,hit_day,420,20,0.85,0.0,0.007142857142857143,100.0,5275.0
difficulty_failure,miss_day,12,4,0.0,0.0,0.3333333333333333,7250.0,9925.0
pred_span_quartile,Q1,108,13,0.5384615384615384,0.0,0.05555555555555555,4200.0,9800.0
pred_span_quartile,Q2,108,11,0.9090909090909091,0.0,0.009259259259259259,0.0,700.0
pred_span_quartile,Q3,108,0,,,0.0,,
pred_span_quartile,Q4,108,0,,,0.0,,
weekday,fri_sat,126,6,1.0,,0.0,0.0,750.0
weekday,mon_thu,183,6,0.6666666666666666,0.0,0.01092896174863388,700.0,3000.0
weekday,sunday,63,8,0.5,0.0,0.06349206349206349,9150.0,17450.0
weekday,wednesday,60,4,0.75,0.0,0.016666666666666666,0.0,2650.0
