condition,difficulty,n_pairs,n_miss1,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate,loss_when_miss1_p50,loss_when_miss1_p75
anomaly_direction,anomaly,57,6,0.8333333333333334,0.0,0.017543859649122806,1000.0,3850.0
anomaly_direction,normal,375,16,0.8125,0.0,0.008,150.0,4575.0
difficulty_failure,hit_day,423,19,0.9473684210526315,0.0,0.002364066193853428,0.0,2350.0
difficulty_failure,miss_day,9,3,0.0,0.0,0.3333333333333333,4800.0,7250.0
pred_span_quartile,Q1,108,12,0.6666666666666666,0.0,0.037037037037037035,3550.0,7650.0
pred_span_quartile,Q2,108,7,1.0,,0.0,1000.0,1100.0
pred_span_quartile,Q3,108,3,1.0,,0.0,0.0,0.0
pred_span_quartile,Q4,108,0,,,0.0,,
weekday,fri_sat,126,6,1.0,,0.0,0.0,750.0
weekday,mon_thu,183,8,0.75,0.0,0.01092896174863388,2400.0,7650.0
weekday,sunday,63,5,0.6,0.0,0.031746031746031744,4800.0,8500.0
weekday,wednesday,60,3,1.0,,0.0,0.0,0.0
