metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
critical_miss_rate,mannwhitneyu,57,57,57,0.017543859649122806,0.017543859649122806,0.0,-0.05263157894736842,0.05263157894736842,1.0,0.0,negligible,anomaly_direction,anomaly,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,57,57,57,0.9824561403508771,0.9824561403508771,0.0,-0.052631578947368474,0.052631578947368474,1.0,0.0,negligible,anomaly_direction,anomaly,1.0,1.0,False,False,False
loss_value,wilcoxon,57,57,57,1154.3859649122808,1215.7894736842106,-61.403508771929864,-677.1929824561404,447.36842105263156,1.0,-0.012223868046656082,negligible,anomaly_direction,anomaly,1.0,1.0,False,False,False
critical_miss_rate,wilcoxon,375,375,375,0.008,0.010666666666666666,-0.002666666666666666,-0.010666666666666666,0.005333333333333333,0.5637028616507731,-0.027698005111911707,negligible,anomaly_direction,normal,1.0,1.0,False,False,False
hit_at_2,wilcoxon,375,375,375,0.9946666666666667,0.9946666666666667,0.0,-0.008,0.008,1.0,0.0,negligible,anomaly_direction,normal,1.0,1.0,False,False,False
loss_value,wilcoxon,375,375,375,790.6666666666666,861.3333333333334,-70.66666666666674,-345.34,273.0733333333332,0.10728161263173557,-0.022048979571848603,negligible,anomaly_direction,normal,1.0,0.8275170651388443,False,False,False
critical_miss_rate,wilcoxon,423,423,420,0.002364066193853428,0.004728132387706856,-0.002364066193853428,-0.007142857142857143,0.0,0.31731050786291415,-0.03973081763501016,negligible,difficulty_failure,hit_day,1.0,0.8275170651388443,False,False,False
hit_at_2,mannwhitneyu,423,423,420,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,423,423,420,809.692671394799,813.4751773049645,-3.7825059101654688,-221.42857142857142,282.14285714285717,0.1842251512580656,-0.0011146055558137532,negligible,difficulty_failure,hit_day,1.0,0.8275170651388443,False,False,False
critical_miss_rate,mannwhitneyu,9,9,6,0.3333333333333333,0.3333333333333333,0.0,-0.4444444444444444,0.4444444444444445,1.0,0.0,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,9,9,6,0.6666666666666666,0.6666666666666666,0.0,-0.4444444444444444,0.4444444444444444,1.0,0.0,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
