metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
critical_miss_rate,wilcoxon,57,57,57,0.0,0.017543859649122806,-0.017543859649122806,-0.05263157894736842,0.0,0.31731050786291415,-0.1873171623163388,negligible,anomaly_direction,anomaly,1.0,0.8013281355485574,False,False,False
hit_at_2,wilcoxon,57,57,57,1.0,0.9824561403508771,0.01754385964912286,0.0,0.05263157894736842,0.31731050786291415,0.18731716231633938,negligible,anomaly_direction,anomaly,1.0,0.8013281355485574,False,False,False
loss_value,wilcoxon,57,57,57,757.8947368421053,1215.7894736842106,-457.8947368421053,-1084.2105263157894,-14.035087719298245,0.06788915486182899,-0.09363446859648163,negligible,anomaly_direction,anomaly,1.0,0.8013281355485574,False,False,False
critical_miss_rate,wilcoxon,375,375,375,0.018666666666666668,0.010666666666666666,0.008000000000000002,0.0,0.018666666666666668,0.0832645166635504,0.06649567562516598,negligible,anomaly_direction,normal,1.0,0.8013281355485574,False,False,False
hit_at_2,wilcoxon,375,375,375,0.9893333333333333,0.9946666666666667,-0.005333333333333412,-0.013333333333333334,0.0,0.15729920705028502,-0.05981536114576765,negligible,anomaly_direction,normal,1.0,0.8013281355485574,False,False,False
loss_value,wilcoxon,375,375,375,1044.5333333333333,861.3333333333334,183.19999999999993,-129.34,578.9466666666664,0.6358448250866473,0.04971301691682716,negligible,anomaly_direction,normal,1.0,1.0,False,False,False
critical_miss_rate,wilcoxon,420,423,417,0.007142857142857143,0.004728132387706856,0.002414724755150287,0.0,0.007194244604316547,0.31731050786291415,0.03141420701107859,negligible,difficulty_failure,hit_day,1.0,0.8013281355485574,False,False,False
hit_at_2,mannwhitneyu,420,423,417,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,420,423,417,868.3333333333334,813.4751773049645,54.85815602836885,-228.77697841726618,410.5515587529976,0.5552686531286906,0.014990654866709937,negligible,difficulty_failure,hit_day,1.0,1.0,False,False,False
critical_miss_rate,mannwhitneyu,12,9,6,0.3333333333333333,0.3333333333333333,0.0,-0.41666666666666663,0.3888888888888889,1.0,0.0,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,12,9,6,0.6666666666666666,0.6666666666666666,0.0,-0.38888888888888884,0.4166666666666667,1.0,0.0,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
loss_value,mannwhitneyu,12,9,6,5850.0,5355.555555555556,494.44444444444434,-6030.555555555555,6611.249999999998,0.8530068793691074,0.06460524063014872,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
critical_miss_rate,wilcoxon,108,108,88,0.05555555555555555,0.037037037037037035,0.018518518518518517,-0.022727272727272728,0.06818181818181818,0.31731050786291415,0.08780686006813603,negligible,pred_span_quartile,Q1,1.0,0.8013281355485574,False,False,False
hit_at_2,wilcoxon,108,108,88,0.9629629629629629,0.9722222222222222,-0.0092592592592593,-0.056818181818181816,0.022727272727272728,0.5637028616507731,-0.05206385484678252,negligible,pred_span_quartile,Q1,1.0,1.0,False,False,False
loss_value,wilcoxon,108,108,88,3484.259259259259,2699.074074074074,785.1851851851852,-778.4090909090909,1303.4659090909083,0.9095609385561121,0.11473452782387422,negligible,pred_span_quartile,Q1,1.0,1.0,False,False,False
critical_miss_rate,mannwhitneyu,108,108,73,0.009259259259259259,0.009259259259259259,0.0,-0.027777777777777776,0.027777777777777776,1.0,0.0,negligible,pred_span_quartile,Q2,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,108,108,73,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q2,1.0,1.0,False,False,False
loss_value,wilcoxon,108,108,73,496.2962962962963,850.0,-353.7037037037037,-324.6575342465753,161.64383561643837,0.39802471950693785,-0.13817545459193892,negligible,pred_span_quartile,Q2,1.0,0.8955556188906102,False,False,False
critical_miss_rate,mannwhitneyu,108,108,83,0.0,0.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q3,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,108,108,83,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q3,1.0,1.0,False,False,False
loss_value,wilcoxon,108,108,83,34.25925925925926,71.29629629629629,-37.03703703703703,-46.98795180722892,0.0,0.31731050786291415,-0.17446514839496607,negligible,pred_span_quartile,Q3,1.0,0.8013281355485574,False,False,False
critical_miss_rate,mannwhitneyu,108,108,99,0.0,0.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q4,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,108,108,99,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q4,1.0,1.0,False,False,False
loss_value,mannwhitneyu,108,108,99,12.037037037037036,12.037037037037036,0.0,-36.111111111111114,36.111111111111114,1.0,0.0,negligible,pred_span_quartile,Q4,1.0,1.0,False,False,False
critical_miss_rate,mannwhitneyu,126,126,126,0.0,0.0,0.0,0.0,0.0,1.0,,na,weekday,fri_sat,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,126,126,126,1.0,1.0,0.0,0.0,0.0,1.0,,na,weekday,fri_sat,1.0,1.0,False,False,False
loss_value,wilcoxon,126,126,126,381.74603174603175,540.4761904761905,-158.73015873015873,-469.8412698412698,84.12698412698413,0.5076243443095237,-0.08442464939345758,negligible,weekday,fri_sat,1.0,1.0,False,False,False
critical_miss_rate,wilcoxon,183,183,183,0.01092896174863388,0.00546448087431694,0.00546448087431694,0.0,0.01639344262295082,0.31731050786291415,0.06046801290782502,negligible,weekday,mon_thu,1.0,0.8013281355485574,False,False,False
hit_at_2,wilcoxon,183,183,183,0.9890710382513661,0.994535519125683,-0.005464480874316946,-0.01639344262295082,0.0,0.31731050786291415,-0.06046801290782509,negligible,weekday,mon_thu,1.0,0.8013281355485574,False,False,False
loss_value,wilcoxon,183,183,183,824.5901639344262,897.8142076502733,-73.22404371584707,-262.8415300546448,112.03551912568285,0.33388672314523227,-0.02155134545394991,negligible,weekday,mon_thu,1.0,0.8013281355485574,False,False,False
critical_miss_rate,wilcoxon,63,63,63,0.06349206349206349,0.06349206349206349,0.0,-0.047619047619047616,0.047619047619047616,1.0,0.0,negligible,weekday,sunday,1.0,1.0,False,False,False
hit_at_2,wilcoxon,63,63,63,0.9841269841269841,0.9682539682539683,0.015873015873015817,0.0,0.047619047619047616,0.31731050786291415,0.10342645907195507,negligible,weekday,sunday,1.0,0.8013281355485574,False,False,False
loss_value,wilcoxon,63,63,63,2892.063492063492,1469.8412698412699,1422.2222222222222,-61.904761904761905,3455.5555555555557,0.32698934959801507,0.19894407534102873,negligible,weekday,sunday,1.0,0.8013281355485574,False,False,False
critical_miss_rate,wilcoxon,60,60,60,0.016666666666666666,0.0,0.016666666666666666,0.0,0.05,0.31731050786291415,0.18257418583505536,negligible,weekday,wednesday,1.0,0.8013281355485574,False,False,False
hit_at_2,wilcoxon,60,60,60,0.9833333333333333,1.0,-0.01666666666666672,-0.05,0.0,0.31731050786291415,-0.1825741858350559,negligible,weekday,wednesday,1.0,0.8013281355485574,False,False,False
loss_value,wilcoxon,60,60,60,895.0,1121.6666666666667,-226.66666666666674,-1250.125,463.3333333333333,1.0,-0.07409669293612191,negligible,weekday,wednesday,1.0,1.0,False,False,False
