variant,status,rows_total,groups_total,sig_bh,sig_imp,sig_worsen,low_support_rows,low_support_groups
digit_lag_v2p1_digitlag,ok,36,12,0,0,0,3,1
digit_lag_v2p2_digitlag_expertgate,ok,36,12,0,0,0,3,1
digit_lag_v2p3_2fn_weekdaypatch,ok,36,12,0,0,0,3,1
digit_lag_v2r_current,ok,36,12,0,0,0,3,1
digit_lag_v3_cluster,ok,36,12,0,0,0,3,1
digit_lag_v3a_cluster_only,ok,36,12,0,0,0,3,1
digit_lag_v3b_weekday_only,ok,36,12,0,0,0,3,1
digit_lag_v4_znorm,ok,36,12,0,0,0,3,1
digit_lag_v4a_znorm_only,ok,36,12,0,0,0,3,1
digit_lag_v4b_pctrank_only,ok,36,12,0,0,0,3,1
