condition,difficulty,n_pairs,n_days,hit_at_2_mean,hit_at_3_mean,loss_mean,loss_p50,loss_p75,loss_p95,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate
anomaly_direction,anomaly,57,19,0.9649122807017544,1.0,1628.0701754385964,0.0,0.0,9959.999999999995,0.6666666666666666,0.0,0.03508771929824561
anomaly_direction,normal,378,126,0.9920634920634921,0.9973544973544973,982.2751322751323,0.0,0.0,5944.999999999993,0.8333333333333334,0.0,0.007936507936507936
difficulty_failure,hit_day,420,140,1.0,1.0,997.8571428571429,0.0,0.0,6214.999999999986,1.0,,0.0
difficulty_failure,miss_day,15,5,0.6666666666666666,0.9333333333333333,3000.0,0.0,5400.0,10510.0,0.0,0.0,0.3333333333333333
pred_span_quartile,Q1,108,84,0.9629629629629629,0.9907407407407407,3440.740740740741,0.0,3200.0,19109.999999999953,0.7647058823529411,0.0,0.037037037037037035
pred_span_quartile,Q2,108,83,0.9907407407407407,1.0,745.3703703703703,0.0,0.0,3044.999999999989,0.8571428571428571,0.0,0.009259259259259259
pred_span_quartile,Q3,109,83,1.0,1.0,105.5045871559633,0.0,0.0,739.9999999999977,,,0.0
pred_span_quartile,Q4,110,80,1.0,1.0,4.545454545454546,0.0,0.0,0.0,,,0.0
weekday,fri_sat,126,42,0.9841269841269841,1.0,969.8412698412699,0.0,0.0,4025.0,0.7142857142857143,0.0,0.015873015873015872
weekday,mon_thu,186,62,0.9946236559139785,0.9946236559139785,948.9247311827957,0.0,0.0,7250.0,0.8888888888888888,0.0,0.005376344086021506
weekday,sunday,63,21,0.9841269841269841,1.0,1747.6190476190477,0.0,50.0,12529.999999999998,0.75,0.0,0.015873015873015872
weekday,wednesday,60,20,0.9833333333333333,1.0,921.6666666666666,0.0,0.0,4684.999999999989,0.75,0.0,0.016666666666666666
