condition,difficulty,n_pairs,n_days,hit_at_2_mean,hit_at_3_mean,loss_mean,loss_p50,loss_p75,loss_p95,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate
anomaly_direction,anomaly,57,19,0.9824561403508771,1.0,1114.0350877192982,0.0,0.0,5279.999999999977,0.9,0.0,0.017543859649122806
anomaly_direction,normal,378,126,0.9920634920634921,0.9947089947089947,691.2698412698413,0.0,0.0,3714.9999999999977,0.8235294117647058,0.0,0.007936507936507936
difficulty_failure,hit_day,423,141,1.0,1.0,620.3309692671395,0.0,0.0,3089.9999999999977,1.0,,0.0
difficulty_failure,miss_day,12,4,0.6666666666666666,0.8333333333333334,5200.0,850.0,6450.0,20654.999999999993,0.2,0.0,0.3333333333333333
pred_span_quartile,Q1,107,85,0.9719626168224299,0.9813084112149533,2425.233644859813,0.0,2250.0,13769.999999999953,0.8,0.0,0.028037383177570093
pred_span_quartile,Q2,109,84,1.0,1.0,444.0366972477064,0.0,0.0,2239.999999999995,1.0,,0.0
pred_span_quartile,Q3,109,79,0.9908256880733946,1.0,153.21100917431193,0.0,0.0,600.0,0.5,0.0,0.009174311926605505
pred_span_quartile,Q4,110,84,1.0,1.0,1.8181818181818181,0.0,0.0,0.0,,,0.0
weekday,fri_sat,126,42,1.0,1.0,435.7142857142857,0.0,0.0,2775.0,1.0,,0.0
weekday,mon_thu,186,62,0.9946236559139785,1.0,765.5913978494624,0.0,0.0,3775.0,0.9,0.0,0.005376344086021506
weekday,sunday,63,21,0.9682539682539683,0.9841269841269841,749.2063492063492,0.0,0.0,2199.9999999999986,0.3333333333333333,0.0,0.031746031746031744
weekday,wednesday,60,20,0.9833333333333333,0.9833333333333333,1338.3333333333333,0.0,0.0,7534.999999999998,0.8333333333333334,0.0,0.016666666666666666
