date,month,weekday,expert,precision,recall,f1,hit_at_2,hit_at_3,pred_span,n_items
2026-05-20,2026-05,Wednesday,2F_N,0.5,0.5,0.5,1.0,1.0,0.9875500709749759,10
2026-05-20,2026-05,Wednesday,3F_A,0.5,0.5,0.5,1.0,1.0,0.7205148935317993,10
2026-05-20,2026-05,Wednesday,3F_N,1.0,1.0,1.0,1.0,1.0,0.9477244764566422,10
2026-05-22,2026-05,Friday,2F_N,1.0,1.0,1.0,1.0,1.0,0.8162678848976856,10
2026-05-22,2026-05,Friday,3F_A,0.5,0.5,0.5,1.0,1.0,0.0025024749693607993,10
2026-05-22,2026-05,Friday,3F_N,1.0,1.0,1.0,1.0,1.0,0.0102153926351574,10
2026-05-23,2026-05,Saturday,2F_N,1.0,1.0,1.0,1.0,1.0,0.0545346426476723,10
2026-05-23,2026-05,Saturday,3F_A,1.0,1.0,1.0,1.0,1.0,0.9933054352154616,10
2026-05-23,2026-05,Saturday,3F_N,0.5,0.5,0.5,1.0,1.0,0.9952791797950703,10
2026-05-24,2026-05,Sunday,2F_N,1.0,1.0,1.0,1.0,1.0,0.9999999794980118,10
2026-05-24,2026-05,Sunday,3F_A,0.5,0.5,0.5,1.0,1.0,0.9996360179579111,10
2026-05-24,2026-05,Sunday,3F_N,1.0,1.0,1.0,1.0,1.0,0.9981514116136787,10
2026-05-25,2026-05,Monday,2F_N,0.5,0.5,0.5,1.0,1.0,0.94441650439643,20
2026-05-25,2026-05,Monday,3F_A,0.0,0.0,0.0,0.0,1.0,0.9948157864965874,20
2026-05-25,2026-05,Monday,3F_N,0.5,0.5,0.5,1.0,1.0,0.9929321883235281,20
