condition,difficulty,n_pairs,n_days,hit_at_2_mean,hit_at_3_mean,loss_mean,loss_p50,loss_p75,loss_p95,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate
anomaly_direction,anomaly,76,19,0.9736842105263158,1.0,1292.1052631578948,0.0,0.0,9025.0,0.6666666666666666,0.0,0.02631578947368421
anomaly_direction,normal,508,127,0.9940944881889764,0.9980314960629921,802.1653543307086,0.0,0.0,3694.999999999993,0.8636363636363636,0.0,0.005905511811023622
difficulty_failure,hit_day,564,141,1.0,1.0,807.0921985815603,0.0,0.0,3755.000000000007,1.0,,0.0
difficulty_failure,miss_day,20,5,0.75,0.95,2525.0,0.0,4575.0,10335.0,0.0,0.0,0.25
pred_span_quartile,Q1,144,99,0.9722222222222222,0.9930555555555556,2849.3055555555557,0.0,2925.0,15339.999999999998,0.7894736842105263,0.0,0.027777777777777776
pred_span_quartile,Q2,146,99,0.9931506849315068,1.0,563.6986301369863,0.0,0.0,2125.0,0.8888888888888888,0.0,0.00684931506849315
pred_span_quartile,Q3,147,101,1.0,1.0,85.71428571428571,0.0,0.0,469.99999999999886,,,0.0
pred_span_quartile,Q4,147,99,1.0,1.0,3.401360544217687,0.0,0.0,0.0,,,0.0
weekday,fri_sat,168,42,0.9880952380952381,1.0,755.952380952381,0.0,0.0,2860.0000000000023,0.7777777777777778,0.0,0.011904761904761904
weekday,mon_thu,252,63,0.996031746031746,0.996031746031746,760.7142857142857,0.0,0.0,5514.999999999992,0.9090909090909091,0.0,0.003968253968253968
weekday,sunday,84,21,0.9880952380952381,1.0,1433.3333333333333,0.0,0.0,10804.999999999993,0.75,0.0,0.011904761904761904
weekday,wednesday,80,20,0.9875,1.0,832.5,0.0,0.0,4569.999999999996,0.75,0.0,0.0125
