condition,difficulty,n_pairs,n_days,hit_at_2_mean,hit_at_3_mean,loss_mean,loss_p50,loss_p75,loss_p95,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate
anomaly_direction,anomaly,76,19,0.9868421052631579,1.0,839.4736842105264,0.0,0.0,2775.0,0.9,0.0,0.013157894736842105
anomaly_direction,normal,508,127,0.9940944881889764,0.9960629921259843,576.5748031496063,0.0,0.0,3500.0,0.8888888888888888,0.0,0.005905511811023622
difficulty_failure,hit_day,568,142,1.0,1.0,510.5633802816901,0.0,0.0,2900.0,1.0,,0.0
difficulty_failure,miss_day,16,4,0.75,0.875,4168.75,0.0,4575.0,19075.0,0.2,0.0,0.25
pred_span_quartile,Q1,143,99,0.9790209790209791,0.986013986013986,2020.2797202797203,0.0,1700.0,9730.00000000001,0.8695652173913043,0.0,0.02097902097902098
pred_span_quartile,Q2,147,99,1.0,1.0,349.65986394557825,0.0,0.0,1479.9999999999955,1.0,,0.0
pred_span_quartile,Q3,147,105,0.9931972789115646,1.0,110.20408163265306,0.0,0.0,200.0,0.5,0.0,0.006802721088435374
pred_span_quartile,Q4,147,105,1.0,1.0,1.3605442176870748,0.0,0.0,0.0,,,0.0
weekday,fri_sat,168,42,1.0,1.0,388.6904761904762,0.0,0.0,2685.000000000005,1.0,,0.0
weekday,mon_thu,252,63,0.996031746031746,1.0,587.3015873015873,0.0,0.0,2900.0,0.9230769230769231,0.0,0.003968253968253968
weekday,sunday,84,21,0.9761904761904762,0.9880952380952381,603.5714285714286,0.0,0.0,2149.9999999999945,0.5,0.0,0.023809523809523808
weekday,wednesday,80,20,0.9875,0.9875,1158.75,0.0,0.0,5979.999999999995,0.8888888888888888,0.0,0.0125
