model,fold,train_days,valid_days,auc,recall_at_2,hit_at_2_any,n_train,n_valid
M0_hall_only,1,80,80,0.4988333333333334,0.26875,0.35,953,950
M0_hall_only,2,160,80,0.5049428104575163,0.2125,0.2625,1903,953
M0_hall_only,3,240,80,0.5043019480519481,0.2125,0.2875,2856,954
M0_hall_only,4,320,80,0.5018036912751678,0.31875,0.4125,3810,949
M0_hall_only,5,400,80,0.49979575163398693,0.225,0.3375,4759,953
M1_digit_only,1,80,80,0.5020416666666666,0.23125,0.3125,953,950
M1_digit_only,2,160,80,0.509407679738562,0.25625,0.325,1903,953
M1_digit_only,3,240,80,0.5167613636363637,0.28125,0.3625,2856,954
M1_digit_only,4,320,80,0.5141065436241612,0.3,0.4125,3810,949
M1_digit_only,5,400,80,0.5219485294117647,0.325,0.4,4759,953
M2_hall_plus_digit,1,80,80,0.5012666666666666,0.225,0.3125,953,950
M2_hall_plus_digit,2,160,80,0.5002246732026144,0.3125,0.4125,1903,953
M2_hall_plus_digit,3,240,80,0.5324188311688312,0.2625,0.3625,2856,954
M2_hall_plus_digit,4,320,80,0.5009270134228188,0.275,0.325,3810,949
M2_hall_plus_digit,5,400,80,0.5175531045751635,0.31875,0.3875,4759,953
M3_add_context,1,80,80,0.49440833333333334,0.225,0.3125,953,950
M3_add_context,2,160,80,0.4858619281045752,0.29375,0.3875,1903,953
M3_add_context,3,240,80,0.5273863636363637,0.25625,0.3375,2856,954
M3_add_context,4,320,80,0.5105159395973154,0.26875,0.35,3810,949
M3_add_context,5,400,80,0.5246609477124183,0.3,0.3625,4759,953
M4_add_interactions,1,80,80,0.4918916666666666,0.21875,0.3125,953,950
M4_add_interactions,2,160,80,0.48794526143790856,0.3,0.3875,1903,953
M4_add_interactions,3,240,80,0.5318100649350649,0.29375,0.4125,2856,954
M4_add_interactions,4,320,80,0.5139974832214765,0.2875,0.375,3810,949
M4_add_interactions,5,400,80,0.5078635620915033,0.29375,0.35,4759,953
