weekday,last_digit,mean_diff,median_diff,n_rows,n_days
月,0,-12.943393522499283,-238.0,20934,72
月,1,31.25876492151518,-218.0,21278,72
月,2,25.276041420398126,-230.0,21149,72
月,3,13.300475963826749,-218.0,21010,72
月,4,49.219986950848195,-238.0,18392,72
月,5,10.952289893871306,-228.0,20918,72
月,6,12.63244760660181,-225.0,20661,72
月,7,25.03604298173758,-225.0,20753,72
月,8,28.18464961067853,-201.0,20677,72
月,9,8.68530737930276,-242.5,18186,72
火,0,33.08337314859054,-205.0,20930,72
火,1,24.813049405349503,-200.0,21273,72
火,2,18.594958857467134,-205.5,21146,72
火,3,36.05688309215537,-200.0,21008,72
火,4,62.679131614654004,-215.0,18425,72
火,5,33.357142857142854,-210.0,20916,72
火,6,46.59714424007745,-200.0,20660,72
火,7,43.08163462001831,-200.0,20751,72
火,8,64.47083575159606,-200.0,20676,72
火,9,70.5653438717822,-210.0,18219,72
水,0,12.76025459688826,-200.0,21210,73
水,1,23.974022359326437,-200.0,21557,73
水,2,24.620625291647222,-200.0,21430,73
水,3,16.415594175669327,-200.0,21290,73
水,4,39.098851561661476,-200.0,18634,73
水,5,44.2475938856388,-200.0,21196,73
水,6,27.711993122223813,-206.0,20937,73
水,7,31.698449686132776,-200.0,21028,73
水,8,45.2200744558992,-200.0,20952,73
水,9,35.65894165535956,-222.0,18425,73
木,0,31.068816694332465,-200.0,21085,73
木,1,64.03177788147457,-193.0,21430,73
木,2,36.79261136929071,-200.0,21303,73
木,3,28.916328073325143,-200.0,21166,73
木,4,27.498541486603283,-200.0,18512,73
木,5,9.350384359874727,-200.0,21074,73
木,6,15.958637586471944,-200.0,20816,73
木,7,30.432049748863907,-199.0,20905,73
木,8,32.3594027557732,-200.0,20829,73
木,9,40.688302464076926,-200.0,18303,73
金,0,15.609769871523365,-238.0,21249,73
金,1,17.107900342687785,-236.0,21594,73
金,2,25.05147675393646,-225.0,21466,73
金,3,18.455500328237832,-204.0,21326,73
金,4,41.95046323568789,-231.0,18673,73
金,5,16.73931060463364,-229.0,21236,73
金,6,32.69315473353036,-238.0,20978,73
金,7,21.90450424794722,-239.0,21069,73
金,8,11.987661966463415,-232.0,20992,73
金,9,58.25700048746141,-231.0,18463,73
土,0,8.69313739343413,-381.0,21231,73
土,1,4.551657010428737,-381.0,21575,73
土,2,44.33254068168042,-341.0,21447,73
土,3,12.093588660471228,-357.0,21306,73
土,4,57.216372701442126,-333.0,18653,73
土,5,5.0748963046757165,-376.0,21216,73
土,6,82.06812977099237,-323.0,20960,73
土,7,30.891116389548692,-370.0,21050,73
土,8,18.06178489702517,-343.0,20976,73
土,9,32.43187855787476,-333.0,18445,73
日,0,-18.85940879596251,-381.0,20805,72
日,1,2.3908703878902555,-346.5,21140,72
日,2,-32.25438972162741,-381.0,21015,72
日,3,3.311670896987692,-357.0,20881,72
日,4,-19.64795890485819,-392.0,18299,72
日,5,1.1567580567580567,-381.0,20790,72
日,6,-5.3557935735150926,-371.5,20540,72
日,7,-9.834391816551122,-364.0,20627,72
日,8,13.245840225746813,-364.0,20554,72
日,9,-15.169162752141476,-381.0,18095,72
