date,month,weekday,expert,model,window,lambda,top1_tail,top1_pred,top1_actual_raw_diff,top1_prob_positive,top1_final_score,top2_tail,top2_pred,top2_actual_raw_diff,top2_prob_positive,top2_final_score,pred_span_top12,hit_at_2,hit_at_3
2026-01-01,2026-01,Thursday,2F_N,xgb_ranker_ndcg,full_2025,1.25,3,0.0016698231511395017,-19600.0,0.5,0.0016698231511395017,5,0.0012006486694845677,-28300.0,0.5,0.0012006486694845677,0.00046917448165493397,0.0,0.0
2026-01-01,2026-01,Thursday,3F_A,xgb_ranker_ndcg,recent_60d,0.5,2,0.9344555415599177,46400.0,0.5,0.9344555415599177,1,0.6921495508418143,39400.0,0.5,0.6921495508418143,0.24230599071810344,0.0,0.0
2026-01-01,2026-01,Thursday,3F_N,xgb_ranker_ndcg,recent_60d,1.25,9,0.0068491662564782235,-3500.0,0.5,0.0068491662564782235,8,0.004856170661812153,-17500.0,0.5,0.004856170661812153,0.0019929955946660707,0.0,0.0
2026-01-02,2026-01,Friday,2F_N,xgb_ranker_ndcg,full_2025,1.25,6,0.9926241545976265,33900.0,0.5,0.9926241545976265,9,0.9824688802964141,35300.0,0.5,0.9824688802964141,0.010155274301212436,1.0,1.0
2026-01-02,2026-01,Friday,3F_A,xgb_ranker_ndcg,full_2025,1.25,4,0.6444384678280412,16400.0,0.5,0.6444384678280412,6,0.03650641868902442,1400.0,0.5,0.03650641868902442,0.6079320491390168,1.0,1.0
2026-01-02,2026-01,Friday,3F_N,xgb_ranker_ndcg,full_2025,0.5,5,0.015204962916178073,15200.0,0.5,0.015204962916178073,9,0.001743949688129698,-12300.0,0.5,0.001743949688129698,0.013461013228048376,1.0,1.0
2026-01-03,2026-01,Saturday,2F_N,xgb_ranker_ndcg,full_2025,1.25,0,0.9853638783332513,38800.0,0.5,0.9853638783332513,7,0.47469038035338174,28200.0,0.5,0.47469038035338174,0.5106734979798696,1.0,1.0
2026-01-03,2026-01,Saturday,3F_A,xgb_ranker_ndcg,full_2025,1.25,8,0.0147867691684122,-2200.0,0.5,0.0147867691684122,7,0.012712566020680906,-3300.0,0.5,0.012712566020680906,0.0020742031477312944,0.0,0.0
2026-01-03,2026-01,Saturday,3F_N,xgb_ranker_ndcg,full_2025,0.5,2,0.021175425274262295,13000.0,0.5,0.021175425274262295,0,0.0020400379801166968,-25800.0,0.5,0.0020400379801166968,0.019135387294145597,1.0,1.0
2026-01-04,2026-01,Sunday,2F_N,xgb_ranker_ndcg,full_2025,1.25,8,0.9579149057393931,33700.0,0.5,0.9579149057393931,7,0.006991459589219433,13400.0,0.5,0.006991459589219433,0.9509234461501737,1.0,1.0
