date,month,weekday,expert,precision,recall,f1,hit_at_2,hit_at_3,pred_span,n_items,status,window,lambda
2026-01-01,2026-01,Thursday,2F_N,0.5,0.5,0.5,1.0,1.0,0.04604147163318165,10,ok,full_2025,1.25
2026-01-01,2026-01,Thursday,3F_A,0.0,0.0,0.0,0.0,0.0,0.007709011876697924,10,ok,full_2025,0.75
2026-01-01,2026-01,Thursday,3F_N,1.0,1.0,1.0,1.0,1.0,0.31974308413214797,10,ok,recent_60d,0.75
2026-01-02,2026-01,Friday,2F_N,1.0,1.0,1.0,1.0,1.0,0.9967060535474176,10,ok,full_2025,1.25
2026-01-02,2026-01,Friday,3F_A,0.5,0.5,0.5,1.0,1.0,0.9649325624386337,10,ok,full_2025,0.75
2026-01-02,2026-01,Friday,3F_N,0.5,0.5,0.5,1.0,1.0,0.63378193781706,10,ok,recent_60d,0.75
2026-01-03,2026-01,Saturday,2F_N,1.0,1.0,1.0,1.0,1.0,0.9923255388503359,10,ok,full_2025,1.25
2026-01-03,2026-01,Saturday,3F_A,0.5,0.5,0.5,1.0,1.0,0.004256689399641487,10,ok,full_2025,0.75
2026-01-03,2026-01,Saturday,3F_N,1.0,1.0,1.0,1.0,1.0,0.899286605685848,10,ok,recent_60d,1.25
2026-01-04,2026-01,Sunday,2F_N,1.0,1.0,1.0,1.0,1.0,0.981275594338994,10,ok,full_2025,1.25
2026-01-04,2026-01,Sunday,3F_A,0.0,0.0,0.0,0.0,1.0,0.00044462150626414657,10,ok,full_2025,0.75
2026-01-04,2026-01,Sunday,3F_N,1.0,1.0,1.0,1.0,1.0,0.7262856354585536,10,ok,recent_60d,0.75
2026-01-05,2026-01,Monday,2F_N,1.0,1.0,1.0,1.0,1.0,0.9960661284785336,10,ok,full_2025,1.25
2026-01-05,2026-01,Monday,3F_A,1.0,1.0,1.0,1.0,1.0,0.992217421092738,10,ok,full_2025,0.75
2026-01-05,2026-01,Monday,3F_N,1.0,1.0,1.0,1.0,1.0,0.9934431808907904,10,ok,full_2025,0.75
2026-01-06,2026-01,Tuesday,2F_N,1.0,1.0,1.0,1.0,1.0,0.9988220872599657,10,ok,full_2025,1.25
2026-01-06,2026-01,Tuesday,3F_A,1.0,1.0,1.0,1.0,1.0,0.7800237956091789,10,ok,full_2025,0.75
2026-01-06,2026-01,Tuesday,3F_N,1.0,1.0,1.0,1.0,1.0,0.992233926901361,10,ok,full_2025,0.75
2026-01-07,2026-01,Wednesday,2F_N,0.5,0.5,0.5,1.0,1.0,0.9315612810673269,10,ok,full_2025,0.75
2026-01-07,2026-01,Wednesday,3F_A,0.5,0.5,0.5,1.0,1.0,0.9422983364681335,10,ok,full_2025,0.75
2026-01-07,2026-01,Wednesday,3F_N,1.0,1.0,1.0,1.0,1.0,0.9907876538262798,10,ok,full_2025,0.75
2026-01-08,2026-01,Thursday,2F_N,1.0,1.0,1.0,1.0,1.0,0.9872206727992068,10,ok,recent_60d,0.75
2026-01-08,2026-01,Thursday,3F_A,1.0,1.0,1.0,1.0,1.0,0.9710721518041768,10,ok,full_2025,0.75
2026-01-08,2026-01,Thursday,3F_N,0.5,0.5,0.5,1.0,1.0,0.8133770175994812,10,ok,full_2025,0.75
2026-01-09,2026-01,Friday,2F_N,1.0,1.0,1.0,1.0,1.0,0.5409415756108813,10,ok,recent_60d,1.0
2026-01-09,2026-01,Friday,3F_A,1.0,1.0,1.0,1.0,1.0,0.9064341023977981,10,ok,full_2025,0.75
2026-01-09,2026-01,Friday,3F_N,1.0,1.0,1.0,1.0,1.0,0.9984181117885481,10,ok,full_2025,0.75
2026-01-10,2026-01,Saturday,2F_N,0.5,0.5,0.5,1.0,1.0,0.9935644685665097,10,ok,recent_60d,1.25
2026-01-10,2026-01,Saturday,3F_A,1.0,1.0,1.0,1.0,1.0,0.8452923750465812,10,ok,full_2025,0.75
2026-01-10,2026-01,Saturday,3F_N,1.0,1.0,1.0,1.0,1.0,0.9956723093006162,10,ok,recent_60d,0.75
2026-01-11,2026-01,Sunday,2F_N,0.5,0.5,0.5,1.0,1.0,0.9914289203190189,10,ok,recent_60d,0.75
2026-01-11,2026-01,Sunday,3F_A,1.0,1.0,1.0,1.0,1.0,0.9976042825094653,10,ok,full_2025,0.75
2026-01-11,2026-01,Sunday,3F_N,0.5,0.5,0.5,1.0,1.0,0.0006442100903637898,10,ok,full_2025,0.75
2026-01-12,2026-01,Monday,2F_N,1.0,1.0,1.0,1.0,1.0,0.9597848923652958,10,ok,recent_60d,0.75
2026-01-12,2026-01,Monday,3F_A,1.0,1.0,1.0,1.0,1.0,0.38812033468440954,10,ok,full_2025,0.75
2026-01-12,2026-01,Monday,3F_N,1.0,1.0,1.0,1.0,1.0,0.1221368761844083,10,ok,full_2025,0.75
