date,month,weekday,expert,model,window,lambda,top1_tail,top1_pred,top1_actual_raw_diff,top1_prob_positive,top1_final_score,top2_tail,top2_pred,top2_actual_raw_diff,top2_prob_positive,top2_final_score,pred_span_top12,hit_at_2,hit_at_3
2026-01-01,2026-01,Thursday,2F_N,xgb_ranker_ndcg,full_2025,0.75,8,0.07145544872440396,12600.0,0.5,0.07145544872440396,0,0.017086198658546086,8400.0,0.5,0.017086198658546086,0.05436925006585787,1.0,1.0
2026-01-01,2026-01,Thursday,3F_A,xgb_ranker_ndcg,full_2025,0.75,9,0.9983995782438138,42300.0,0.5,0.9983995782438138,4,0.9980432680328537,39400.0,0.5,0.9980432680328537,0.00035631021096005355,0.0,1.0
2026-01-01,2026-01,Thursday,3F_N,xgb_ranker_ndcg,recent_60d,0.75,6,0.2683369644326446,10200.0,0.5,0.2683369644326446,7,0.00550413748267878,5700.0,0.5,0.00550413748267878,0.2628328269499658,1.0,1.0
2026-01-02,2026-01,Friday,2F_N,xgb_ranker_ndcg,full_2025,0.75,9,0.9981190185654087,35300.0,0.5,0.9981190185654087,6,0.9965267819855514,33900.0,0.5,0.9965267819855514,0.001592236579857298,1.0,1.0
2026-01-02,2026-01,Friday,3F_A,xgb_ranker_ndcg,full_2025,0.75,4,0.9720708168906761,16400.0,0.5,0.9720708168906761,0,0.036621448209051,4900.0,0.5,0.036621448209051,0.9354493686816251,1.0,1.0
2026-01-02,2026-01,Friday,3F_N,xgb_ranker_ndcg,recent_60d,0.75,5,0.60714411803836,15200.0,0.5,0.60714411803836,3,0.005442944445595659,300.0,0.5,0.005442944445595659,0.6017011735927643,1.0,1.0
2026-01-03,2026-01,Saturday,2F_N,xgb_ranker_ndcg,full_2025,0.75,0,0.9789936633138318,38800.0,0.5,0.9789936633138318,6,0.7800213952349009,23700.0,0.5,0.7800213952349009,0.19897226807893087,1.0,1.0
2026-01-03,2026-01,Saturday,3F_A,xgb_ranker_ndcg,full_2025,0.75,5,0.006793428195475289,500.0,0.5,0.006793428195475289,2,0.006226318046000548,-3400.0,0.5,0.006226318046000548,0.0005671101494747416,1.0,1.0
2026-01-03,2026-01,Saturday,3F_N,xgb_ranker_ndcg,recent_60d,1.25,2,0.911454150130935,13000.0,0.5,0.911454150130935,9,0.1921515474732628,7000.0,0.5,0.1921515474732628,0.7193026026576722,1.0,1.0
2026-01-04,2026-01,Sunday,2F_N,xgb_ranker_ndcg,full_2025,0.75,8,0.9880209683045202,33700.0,0.5,0.9880209683045202,7,0.18041812017447878,13400.0,0.5,0.18041812017447878,0.8076028481300415,1.0,1.0
2026-01-04,2026-01,Sunday,3F_A,xgb_ranker_ndcg,full_2025,0.75,0,0.0011592352638569027,-3200.0,0.5,0.0011592352638569027,6,0.0007335420920204043,-700.0,0.5,0.0007335420920204043,0.00042569317183649836,1.0,1.0
2026-01-04,2026-01,Sunday,3F_N,xgb_ranker_ndcg,recent_60d,1.0,9,0.8191682946059349,16300.0,0.5,0.8191682946059349,0,0.013119338612910633,1600.0,0.5,0.013119338612910633,0.8060489559930243,1.0,1.0
2026-01-05,2026-01,Monday,2F_N,xgb_ranker_ndcg,full_2025,0.75,1,0.9952149098660998,48500.0,0.5,0.9952149098660998,9,0.9947872134488968,39700.0,0.5,0.9947872134488968,0.0004276964172030828,1.0,1.0
2026-01-05,2026-01,Monday,3F_A,xgb_ranker_ndcg,full_2025,0.75,6,0.9906095169772449,13000.0,0.5,0.9906095169772449,4,0.43279263780381877,8700.0,0.5,0.43279263780381877,0.5578168791734262,1.0,1.0
2026-01-05,2026-01,Monday,3F_N,xgb_ranker_ndcg,full_2025,0.75,5,0.9916193485155348,22300.0,0.5,0.9916193485155348,1,0.9898592452488999,26800.0,0.5,0.9898592452488999,0.0017601032666348937,1.0,1.0
2026-01-06,2026-01,Tuesday,2F_N,xgb_ranker_ndcg,full_2025,0.75,6,0.9991941767044783,38300.0,0.5,0.9991941767044783,2,0.9975611684625764,44400.0,0.5,0.9975611684625764,0.0016330082419019343,1.0,1.0
2026-01-06,2026-01,Tuesday,3F_A,xgb_ranker_ndcg,full_2025,0.75,9,0.8000430650637029,9200.0,0.5,0.8000430650637029,5,0.7855624573349073,6300.0,0.5,0.7855624573349073,0.01448060772879567,1.0,1.0
2026-01-06,2026-01,Tuesday,3F_N,xgb_ranker_ndcg,full_2025,0.75,3,0.9906409713376605,20300.0,0.5,0.9906409713376605,1,0.9566624011658902,17300.0,0.5,0.9566624011658902,0.033978570171770306,1.0,1.0
2026-01-07,2026-01,Wednesday,2F_N,xgb_ranker_ndcg,full_2025,1.0,4,0.9280627632323515,32300.0,0.5,0.9280627632323515,0,0.8093208292700378,39400.0,0.5,0.8093208292700378,0.1187419339623137,1.0,1.0
2026-01-07,2026-01,Wednesday,3F_A,xgb_ranker_ndcg,full_2025,0.75,7,0.9320225357232687,11200.0,0.5,0.9320225357232687,0,0.18922029837999638,8500.0,0.5,0.18922029837999638,0.7428022373432723,1.0,1.0
2026-01-07,2026-01,Wednesday,3F_N,xgb_ranker_ndcg,full_2025,1.0,7,0.9956329534068041,22100.0,0.5,0.9956329534068041,0,0.9889430491612743,20600.0,0.5,0.9889430491612743,0.006689904245529843,1.0,1.0
2026-01-08,2026-01,Thursday,2F_N,xgb_ranker_ndcg,recent_60d,1.0,1,0.9918477159076992,54400.0,0.5,0.9918477159076992,5,0.9450475436327757,30700.0,0.5,0.9450475436327757,0.0468001722749235,1.0,1.0
2026-01-08,2026-01,Thursday,3F_A,xgb_ranker_ndcg,full_2025,0.75,6,0.9747656573997735,9800.0,0.5,0.9747656573997735,9,0.8198106025841584,9500.0,0.5,0.8198106025841584,0.1549550548156151,1.0,1.0
2026-01-08,2026-01,Thursday,3F_N,xgb_ranker_ndcg,full_2025,0.75,0,0.8000639082024228,9900.0,0.5,0.8000639082024228,8,0.06717929444350201,5400.0,0.5,0.06717929444350201,0.7328846137589208,1.0,1.0
2026-01-09,2026-01,Friday,2F_N,xgb_ranker_ndcg,recent_60d,1.0,6,0.6019853797104778,12000.0,0.5,0.6019853797104778,2,0.5312426180791271,13600.0,0.5,0.5312426180791271,0.07074276163135074,1.0,1.0
2026-01-09,2026-01,Friday,3F_A,xgb_ranker_ndcg,full_2025,0.75,3,0.8972234137235062,10700.0,0.5,0.8972234137235062,0,0.1919848560561718,5100.0,0.5,0.1919848560561718,0.7052385576673345,1.0,1.0
2026-01-09,2026-01,Friday,3F_N,xgb_ranker_ndcg,recent_60d,1.25,2,0.9978687333790017,35600.0,0.5,0.9978687333790017,6,0.8766920045160271,9500.0,0.5,0.8766920045160271,0.12117672886297459,1.0,1.0
2026-01-10,2026-01,Saturday,2F_N,xgb_ranker_ndcg,recent_60d,0.75,6,0.9951090066672981,54500.0,0.5,0.9951090066672981,2,0.9076777698112143,22300.0,0.5,0.9076777698112143,0.08743123685608378,1.0,1.0
