model,seed,backend_used,date,picked_store,oracle_store,picked_actual_avg_diff_per_machine,oracle_actual_avg_diff_per_machine,top1_hit,top2_inclusion,spearman_daily_rho,regret_vs_oracle,pred_top2_stores
catboost_ranker,42,cpu,2026-01-01 00:00:00,マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田7,370.0,370.0,1,1,0.5166666666666667,0.0,"マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田1"
catboost_ranker,42,cpu,2026-01-02 00:00:00,マルハンメガシティ2000-蒲田7,金時京急蒲田店,180.0,205.0,0,0,0.5333333333333333,25.0,"マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田1"
catboost_ranker,42,cpu,2026-01-03 00:00:00,マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田7,54.0,54.0,1,1,0.25,0.0,"マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田1"
catboost_ranker,42,cpu,2026-01-04 00:00:00,マルハンメガシティ2000-蒲田7,みとや大森町店,-220.0,178.0,0,0,0.7333333333333334,398.0,"マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田1"
catboost_ranker,42,cpu,2026-01-05 00:00:00,マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田7,449.0,449.0,1,1,0.5499999999999999,0.0,"マルハンメガシティ2000-蒲田7,金時京急蒲田店"
catboost_ranker,42,cpu,2026-01-06 00:00:00,マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田7,226.0,226.0,1,1,0.08333333333333334,0.0,"マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田1"
catboost_ranker,42,cpu,2026-01-07 00:00:00,マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田7,349.0,349.0,1,1,0.5833333333333334,0.0,"マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田1"
catboost_ranker,42,cpu,2026-01-08 00:00:00,マルハンメガシティ2000-蒲田7,ザ-シティ-ベルシティ雑色店,136.0,393.0,0,0,0.7999999999999999,257.0,"マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田1"
catboost_ranker,42,cpu,2026-01-09 00:00:00,マルハンメガシティ2000-蒲田7,金時京急蒲田店,80.0,236.0,0,0,0.5333333333333333,156.0,"マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田1"
catboost_ranker,42,cpu,2026-01-10 00:00:00,マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田7,244.0,244.0,1,1,0.09999999999999999,0.0,"マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田1"
