metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
critical_miss_rate,wilcoxon,76,57,57,0.013157894736842105,0.14035087719298245,-0.12719298245614036,-0.22807017543859648,-0.03508771929824561,0.019630657257290667,-0.5191299407118508,medium,anomaly_direction,anomaly,0.706703661262464,0.047113577417497596,True,True,False
hit_at_2,wilcoxon,76,57,57,0.9868421052631579,0.8596491228070176,0.1271929824561403,0.03508771929824561,0.22807017543859648,0.019630657257290667,0.5191299407118506,medium,anomaly_direction,anomaly,0.706703661262464,0.047113577417497596,True,True,False
loss_value,wilcoxon,76,57,57,839.4736842105264,1554.3859649122808,-714.9122807017544,-1943.859649122807,1328.0701754385964,0.11277865463569872,-0.17768825456365653,negligible,anomaly_direction,anomaly,1.0,0.18454688940387065,False,False,False
critical_miss_rate,wilcoxon,508,375,375,0.005905511811023622,0.13866666666666666,-0.13276115485564305,-0.168,-0.096,6.820210334435374e-12,-0.5701301467838926,medium,anomaly_direction,normal,2.4552757203967344e-10,2.0433858452859405e-10,True,True,True
hit_at_2,wilcoxon,508,375,375,0.9940944881889764,0.864,0.1300944881889764,0.09333333333333334,0.16266666666666665,1.1352143584921891e-11,0.5629686235505743,medium,anomaly_direction,normal,4.086771690571881e-10,2.0433858452859405e-10,True,True,True
loss_value,wilcoxon,508,375,375,576.5748031496063,1935.7333333333333,-1359.1585301837272,-1790.4133333333334,-714.9266666666667,1.2994491666129876e-06,-0.37019957272090437,small,anomaly_direction,normal,4.678016999806755e-05,1.559338999935585e-05,True,True,True
critical_miss_rate,wilcoxon,568,282,276,0.0,0.0035460992907801418,-0.0035460992907801418,-0.010869565217391304,0.0,0.31731050786291415,-0.10344755059685821,negligible,difficulty_failure,hit_day,1.0,0.3939026994160314,False,False,False
hit_at_2,mannwhitneyu,568,282,276,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,568,282,276,510.5633802816901,678.0141843971631,-167.45080411547303,-389.5018115942029,535.8786231884056,0.9255935453489538,-0.06661444232414405,negligible,difficulty_failure,hit_day,1.0,1.0,False,False,False
critical_miss_rate,mannwhitneyu,16,150,6,0.25,0.3933333333333333,-0.1433333333333333,-0.3575,0.09333333333333332,0.26422702484553695,-0.29470708435126103,small,difficulty_failure,miss_day,1.0,0.3939026994160314,False,False,False
hit_at_2,mannwhitneyu,16,150,6,0.75,0.6066666666666667,0.1433333333333333,-0.09333333333333338,0.35750000000000004,0.26422702484553695,0.29470708435126103,small,difficulty_failure,miss_day,1.0,0.3939026994160314,False,False,False
loss_value,mannwhitneyu,16,150,6,4168.75,4155.333333333333,13.41666666666697,-3231.095833333333,3941.7041666666664,0.8931822254278089,0.002016910573423106,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
critical_miss_rate,wilcoxon,143,108,28,0.02097902097902098,0.4444444444444444,-0.42346542346542343,-0.42857142857142855,-0.10714285714285714,0.0081509715935027,-1.2281302102879497,large,pred_span_quartile,Q1,0.2934349773660972,0.02257192133585363,True,True,False
hit_at_2,wilcoxon,143,108,28,0.9790209790209791,0.5648148148148148,0.4142061642061643,0.10714285714285714,0.42857142857142855,0.0081509715935027,1.2037262995608982,large,pred_span_quartile,Q1,0.2934349773660972,0.02257192133585363,True,True,False
loss_value,wilcoxon,143,108,28,2020.2797202797203,5454.62962962963,-3434.3499093499095,-3589.375,50.0,0.09782264085462093,-0.5693755824041202,medium,pred_span_quartile,Q1,1.0,0.16769595575077872,False,False,False
critical_miss_rate,wilcoxon,147,108,19,0.0,0.07407407407407407,-0.07407407407407407,-0.15789473684210525,0.0,0.31731050786291415,-0.43290577197284785,small,pred_span_quartile,Q2,1.0,0.3939026994160314,False,False,False
hit_at_2,wilcoxon,147,108,19,1.0,0.9259259259259259,0.07407407407407407,0.0,0.15789473684210525,0.31731050786291415,0.43290577197284785,small,pred_span_quartile,Q2,1.0,0.3939026994160314,False,False,False
loss_value,wilcoxon,147,108,19,349.65986394557825,1580.5555555555557,-1230.8956916099773,-810.5263157894736,-5.2631578947368425,0.06788915486182899,-0.4291574007429379,small,pred_span_quartile,Q2,1.0,0.12220047875129218,False,False,False
critical_miss_rate,wilcoxon,147,108,23,0.006802721088435374,0.037037037037037035,-0.03023431594860166,-0.13043478260869565,0.0,0.31731050786291415,-0.2184798128237959,small,pred_span_quartile,Q3,1.0,0.3939026994160314,False,False,False
hit_at_2,wilcoxon,147,108,23,0.9931972789115646,0.9629629629629629,0.03023431594860171,0.0,0.13043478260869565,0.31731050786291415,0.21847981282379622,small,pred_span_quartile,Q3,1.0,0.3939026994160314,False,False,False
loss_value,wilcoxon,147,108,23,110.20408163265306,494.44444444444446,-384.2403628117914,-2121.8478260869565,113.04347826086956,0.34523107177184,-0.27169054694881106,small,pred_span_quartile,Q3,1.0,0.414277286126208,False,False,False
critical_miss_rate,mannwhitneyu,147,108,42,0.0,0.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q4,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,147,108,42,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q4,1.0,1.0,False,False,False
loss_value,mannwhitneyu,147,108,42,1.3605442176870748,12.037037037037036,-10.676492819349962,-36.111111111111114,4.081632653061225,0.8264188538688193,-0.1297099708294849,negligible,pred_span_quartile,Q4,1.0,0.9597122173960483,False,False,False
critical_miss_rate,wilcoxon,168,126,126,0.0,0.1111111111111111,-0.1111111111111111,-0.16666666666666666,-0.06349206349206349,0.0001828106329818348,-0.5382216454979674,medium,weekday,fri_sat,0.006581182787346053,0.0009401689696208646,True,True,True
hit_at_2,wilcoxon,168,126,126,1.0,0.8888888888888888,0.11111111111111116,0.06349206349206349,0.16666666666666666,0.0001828106329818348,0.5382216454979676,medium,weekday,fri_sat,0.006581182787346053,0.0009401689696208646,True,True,True
loss_value,wilcoxon,168,126,126,388.6904761904762,1430.1587301587301,-1041.468253968254,-1782.579365079365,-286.5079365079365,0.006090368468574867,-0.37531293794680426,small,weekday,fri_sat,0.2192532648686952,0.0199321149880632,True,True,False
critical_miss_rate,wilcoxon,252,183,183,0.003968253968253968,0.1366120218579235,-0.13264376788966953,-0.18579234972677597,-0.08196721311475409,2.5165130527218896e-06,-0.5808470629420034,medium,weekday,mon_thu,9.059446989798803e-05,1.8118893979597606e-05,True,True,True
hit_at_2,wilcoxon,252,183,183,0.996031746031746,0.8633879781420765,0.13264376788966958,0.08196721311475409,0.18579234972677597,2.5165130527218896e-06,0.5808470629420036,medium,weekday,mon_thu,9.059446989798803e-05,1.8118893979597606e-05,True,True,True
loss_value,wilcoxon,252,183,183,587.3015873015873,1290.7103825136612,-703.4087952120739,-1243.1693989071039,237.70491803278688,0.026475742888216486,-0.21780139656370806,small,weekday,mon_thu,0.9531267439757936,0.0595704214984871,True,False,False
critical_miss_rate,wilcoxon,84,63,63,0.023809523809523808,0.12698412698412698,-0.10317460317460317,-0.19047619047619047,-0.015873015873015872,0.033894853524689246,-0.41559746094250066,small,weekday,sunday,1.0,0.07177733687581252,True,False,False
hit_at_2,wilcoxon,84,63,63,0.9761904761904762,0.8888888888888888,0.08730158730158732,0.0,0.15873015873015872,0.05878172135535886,0.36768236575001256,small,weekday,sunday,1.0,0.11137589309436416,False,False,False
loss_value,wilcoxon,84,63,63,603.5714285714286,3098.4126984126983,-2494.84126984127,-3782.579365079365,-1031.7460317460318,0.001016636116039857,-0.5942539658243651,medium,weekday,sunday,0.03659890017743485,0.003659890017743485,True,True,True
critical_miss_rate,wilcoxon,80,60,60,0.0125,0.21666666666666667,-0.20416666666666666,-0.3,-0.1,0.0005320055051392492,-0.7175986208730137,medium,weekday,wednesday,0.019152198185012972,0.002128022020556997,True,True,True
hit_at_2,wilcoxon,80,60,60,0.9875,0.7833333333333333,0.20416666666666672,0.1,0.3,0.0005320055051392492,0.717598620873014,medium,weekday,wednesday,0.019152198185012972,0.002128022020556997,True,True,True
loss_value,wilcoxon,80,60,60,1158.75,3381.6666666666665,-2222.9166666666665,-4090.0416666666665,-148.33333333333334,0.04285796577660062,-0.3965279792454364,small,weekday,wednesday,1.0,0.08571593155320124,True,False,False
