condition,difficulty,n_pairs,n_miss1,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate,loss_when_miss1_p50,loss_when_miss1_p75
anomaly_direction,anomaly,76,10,0.9,0.0,0.013157894736842105,500.0,2075.0
anomaly_direction,normal,508,27,0.8888888888888888,0.0,0.005905511811023622,200.0,1950.0
difficulty_failure,hit_day,568,32,1.0,,0.0,0.0,925.0
difficulty_failure,miss_day,16,5,0.2,0.0,0.25,9600.0,17100.0
pred_span_quartile,Q1,143,23,0.8695652173913043,0.0,0.02097902097902098,400.0,3100.0
pred_span_quartile,Q2,147,12,1.0,,0.0,0.0,550.0
pred_span_quartile,Q3,147,2,0.5,0.0,0.006802721088435374,4900.0,7250.0
pred_span_quartile,Q4,147,0,,,0.0,,
weekday,fri_sat,168,11,1.0,,0.0,0.0,850.0
weekday,mon_thu,252,13,0.9230769230769231,0.0,0.003968253968253968,200.0,1400.0
weekday,sunday,84,4,0.5,0.0,0.023809523809523808,5950.0,11475.0
weekday,wednesday,80,9,0.8888888888888888,0.0,0.0125,0.0,900.0
