entity,machine_type,high_anomaly_days,normal_days,rank_pct_high_anomaly_mean,rank_pct_normal_mean,change_pct,enough_high_sample_ge5
L麻雀物語,AT系,1,99,0.9682539682539683,0.49681128774495353,-0.9489371359674859,0
SHAKE BONUS TRIGGER,BT,8,203,0.5896042168276457,0.5356381778067242,-0.10075091966352384,1
ToLOVEるダークネス TRANCE ver.8.7,AT系,9,302,0.39825451605598067,0.46973792765274386,0.1521772192293735,1
いざ！番長,AT系,9,302,0.4662044097037208,0.5201925761728345,0.10378496145853516,1
うみねこのなく頃に2,BT,6,102,0.4705382050758658,0.46642071811374075,-0.008827838906420457,1
かぐや様は告らせたい,AT系,9,302,0.5769394829917386,0.5444596185736987,-0.05965523118707349,1
からくりサーカス,AT系,9,302,0.4984252487059183,0.5235959594368892,0.048072774965722,1
この素晴らしい世界に祝福を！,AT系,9,302,0.27849098813836515,0.48085223405981525,0.4208387350370042,1
とある科学の超電磁砲2,AT系,7,175,0.5558555549370001,0.5415156136029854,-0.02648112256376807,1
とある魔術の禁書目録,AT系,5,75,0.5465605225556236,0.5769017486561883,0.05259340289961038,1
わたしの幸せな結婚,AT系,0,62,,0.4817881708430772,,0
アイムジャグラーEX-TP,A型,2,173,0.5355902777777778,0.4460765855938296,-0.20066888752922335,0
アズールレーン THE ANIMATION,AT系,9,274,0.4587013692092536,0.5895785644483565,0.22198431749559816,1
アレックス ブライト,BT,9,302,0.48302015651219576,0.5116918266426523,0.05603308209665788,1
ウルトラミラクルジャグラー,A型,9,302,0.49850892550933373,0.4858374109557501,-0.026081800758521116,1
ガールズ&パンツァー 最終章,AT系,9,302,0.3357816146746286,0.49782135116692094,0.3254977636303911,1
キングハナハナ-30,A型,9,302,0.4719419807160927,0.4303279968907724,-0.09670294316426492,1
クランキークレスト,BT,2,148,0.8815724206349207,0.49160985564981524,-0.7932358566523218,0
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,BT,8,228,0.25540443645900435,0.5488629269360844,0.5346662637887611,1
グランベルム,AT系,8,230,0.2784541018619402,0.5115563562732673,0.45567267721878657,1
ゴッドイーター リザレクション,AT系,9,302,0.5226508016650138,0.5052591695124488,-0.03442121034507322,1
ゴブリンスレイヤーII,AT系,2,74,0.30434782608695654,0.6024693171432302,0.49483265383521374,0
