target,is_thursday,f1,precision,recall,hit_at_1,hit_at_2,hit_at_3,hit_at_5,known_coverage,n_days,alpha
is_rank_1,0,0.031340883882711,0.016106485389599138,0.7692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.9978632478632478,26,1.0
is_rank_1,0,0.017384872026247677,0.00885254680764681,0.5384615384615384,0.0,0.0,0.038461538461538464,0.038461538461538464,0.9978632478632478,26,3.0
is_rank_1,0,0.01872909170420842,0.00966569735884452,0.46153846153846156,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.9978632478632478,26,5.0
is_rank_1,0,0.017027908989711932,0.008666969465088721,0.5,0.0,0.0,0.0,0.038461538461538464,0.9978632478632478,26,10.0
is_rank_1,1,0.1130952380952381,0.06298701298701298,0.75,0.0,0.0,0.5,0.5,1.0,4,1.0
is_rank_1,1,0.029153236637120602,0.014882478632478633,0.75,0.0,0.0,0.25,0.25,1.0,4,3.0
is_rank_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,5.0
is_rank_1,1,0.03125,0.016666666666666666,0.25,0.0,0.0,0.0,0.0,1.0,4,10.0
is_top_2,0,0.06367395054803064,0.03507421583310846,0.5961538461538461,0.038461538461538464,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.9978632478632478,26,1.0
is_top_2,0,0.04210822590339201,0.02212718865927881,0.5576923076923077,0.0,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.9978632478632478,26,3.0
is_top_2,0,0.0660733811797283,0.036576524993588766,0.6538461538461539,0.0,0.07692307692307693,0.15384615384615385,0.19230769230769232,0.9978632478632478,26,5.0
is_top_2,0,0.046776682338197394,0.024451785568473088,0.6538461538461539,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.15384615384615385,0.9978632478632478,26,10.0
is_top_2,1,0.07059760967323993,0.037197189130742665,0.75,0.0,0.0,0.25,0.25,1.0,4,1.0
is_top_2,1,0.04648367620751342,0.02457874377130868,0.5,0.0,0.0,0.0,0.0,1.0,4,3.0
is_top_2,1,0.07397749042145593,0.03887897280972584,0.875,0.0,0.0,0.25,0.25,1.0,4,5.0
is_top_2,1,0.05584166791063342,0.02903005464480874,0.75,0.0,0.0,0.0,0.25,1.0,4,10.0
is_top_3,0,0.10452904874641233,0.06183284220422298,0.6666666666666666,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.38461538461538464,0.9978632478632478,26,1.0
is_top_3,0,0.08634514711191395,0.052958326647584965,0.5769230769230769,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.38461538461538464,0.9978632478632478,26,3.0
is_top_3,0,0.07612385729092683,0.0420270059769377,0.7307692307692307,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.19230769230769232,0.9978632478632478,26,5.0
is_top_3,0,0.07525083928888607,0.03958392312938557,0.8333333333333334,0.0,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.9978632478632478,26,10.0
is_top_3,1,0.11612573099415205,0.07322687115346437,0.8333333333333333,0.25,0.25,0.25,0.5,1.0,4,1.0
is_top_3,1,0.09205882352941176,0.04941781477229239,0.8333333333333333,0.0,0.0,0.0,0.0,1.0,4,3.0
is_top_3,1,0.06913728689826942,0.03654577130186886,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,4,5.0
is_top_3,1,0.13062836604026534,0.07420706113803144,0.75,0.0,0.0,0.25,0.25,1.0,4,10.0
is_top_5,0,0.14633726282927934,0.08623577216869684,0.7461538461538461,0.11538461538461539,0.19230769230769232,0.3076923076923077,0.46153846153846156,0.9978632478632478,26,1.0
is_top_5,0,0.12418879418998016,0.0766735610122634,0.6461538461538462,0.038461538461538464,0.07692307692307693,0.2692307692307692,0.34615384615384615,0.9978632478632478,26,3.0
is_top_5,0,0.1322960054579889,0.07825855246264209,0.7692307692307693,0.15384615384615385,0.2692307692307692,0.34615384615384615,0.38461538461538464,0.9978632478632478,26,5.0
is_top_5,0,0.14801218539043753,0.08361164335110459,0.8538461538461538,0.15384615384615385,0.2692307692307692,0.4230769230769231,0.4230769230769231,0.9978632478632478,26,10.0
is_top_5,1,0.09229659229659229,0.05371516801311322,0.55,0.25,0.5,0.5,0.5,1.0,4,1.0
is_top_5,1,0.1409077034077034,0.07945690467393865,0.85,0.25,0.25,0.25,0.25,1.0,4,3.0
is_top_5,1,0.13596196618241935,0.07295504272173793,1.0,0.0,0.0,0.25,0.5,1.0,4,5.0
is_top_5,1,0.09709056477904862,0.057133838383838384,0.55,0.25,0.25,0.5,0.5,1.0,4,10.0
