target,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,date,month,day_of_week,is_thursday,threshold,entity_count,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,model_type,backend_used,segment_mode,segment_blend_weight,segment_models_used,segment_prediction_rows
is_rank_1,0.0196078431372549,1.0,0.038461538461538464,1.0,1.0,1.0,1.0,51,0.0136986301369863,2026-04-21,2026-04,Tuesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_2,0.030303030303030304,1.0,0.05882352941176471,0.0,0.0,0.0,0.0,66,0.0273972602739726,2026-04-21,2026-04,Tuesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_3,0.04225352112676056,1.0,0.08108108108108109,0.0,0.0,0.0,0.0,71,0.0410958904109589,2026-04-21,2026-04,Tuesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_5,0.07042253521126761,1.0,0.13157894736842107,1.0,1.0,1.0,1.0,71,0.0684931506849315,2026-04-21,2026-04,Tuesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_rank_1,0.014084507042253521,1.0,0.02777777777777778,0.0,0.0,0.0,0.0,71,0.0136986301369863,2026-04-22,2026-04,Wednesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_2,0.0625,0.5,0.1111111111111111,0.0,0.0,0.0,0.0,16,0.0273972602739726,2026-04-22,2026-04,Wednesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_3,0.07692307692307693,1.0,0.14285714285714288,0.0,0.0,0.0,0.0,39,0.0410958904109589,2026-04-22,2026-04,Wednesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_5,0.058823529411764705,0.8,0.1095890410958904,0.0,0.0,0.0,1.0,68,0.0684931506849315,2026-04-22,2026-04,Wednesday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_rank_1,0.038461538461538464,1.0,0.07407407407407407,1.0,1.0,1.0,1.0,26,0.0136986301369863,2026-04-23,2026-04,Thursday,1,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_2,0.11764705882352941,1.0,0.21052631578947367,1.0,1.0,1.0,1.0,17,0.0273972602739726,2026-04-23,2026-04,Thursday,1,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_3,0.0410958904109589,1.0,0.07894736842105263,0.0,0.0,0.0,0.0,73,0.0410958904109589,2026-04-23,2026-04,Thursday,1,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_5,0.11904761904761904,1.0,0.21276595744680848,1.0,1.0,1.0,1.0,42,0.0684931506849315,2026-04-23,2026-04,Thursday,1,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_rank_1,0.020833333333333332,1.0,0.04081632653061225,0.0,0.0,0.0,0.0,48,0.0136986301369863,2026-04-24,2026-04,Friday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_2,0.047619047619047616,0.5,0.08695652173913042,0.0,1.0,1.0,1.0,21,0.0273972602739726,2026-04-24,2026-04,Friday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_3,0.05660377358490566,1.0,0.10714285714285715,0.0,1.0,1.0,1.0,53,0.0410958904109589,2026-04-24,2026-04,Friday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_5,0.0684931506849315,1.0,0.1282051282051282,0.0,0.0,0.0,0.0,73,0.0684931506849315,2026-04-24,2026-04,Friday,0,0.0,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_rank_1,0.041666666666666664,1.0,0.07999999999999999,0.0,0.0,1.0,1.0,24,0.0136986301369863,2026-04-25,2026-04,Saturday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0273972602739726,2026-04-25,2026-04,Saturday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_3,0.058823529411764705,0.3333333333333333,0.1,0.0,0.0,0.0,0.0,17,0.0410958904109589,2026-04-25,2026-04,Saturday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_5,0.08695652173913043,0.4,0.14285714285714285,0.0,0.0,0.0,1.0,23,0.0684931506849315,2026-04-25,2026-04,Saturday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.0136986301369863,2026-04-26,2026-04,Sunday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
is_top_2,0.041666666666666664,1.0,0.07999999999999999,0.0,0.0,0.0,0.0,48,0.0273972602739726,2026-04-26,2026-04,Sunday,0,0.5,73,73,73,0,1.0,0.0,sgd,cpu,floor2,0.5,2,73
