target,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,date,month,day_of_week,is_thursday,threshold,entity_count,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,model_type,backend_used,segment_mode,segment_models_used,segment_prediction_rows
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-07,2026-05,Thursday,1,0.08128446340560913,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_2,0.3333333333333333,0.5,0.4,0.0,0.0,1.0,1.0,3,0.027777777777777776,2026-05-07,2026-05,Thursday,1,0.09756722301244736,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_3,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.0,1.0,1.0,1.0,6,0.041666666666666664,2026-05-07,2026-05,Thursday,1,0.10643672943115234,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.06944444444444445,2026-05-07,2026-05,Thursday,1,0.15276110172271729,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-08,2026-05,Friday,0,0.08207953721284866,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-08,2026-05,Friday,0,0.09235496073961258,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.041666666666666664,2026-05-08,2026-05,Friday,0,0.11271055042743683,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_5,0.1,0.2,0.13333333333333333,0.0,0.0,0.0,0.0,10,0.06944444444444445,2026-05-08,2026-05,Friday,0,0.14839334785938263,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.013888888888888888,2026-05-09,2026-05,Saturday,0,0.07643972337245941,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.027777777777777776,2026-05-09,2026-05,Saturday,0,0.10266847163438797,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.041666666666666664,2026-05-09,2026-05,Saturday,0,0.11273033916950226,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.06944444444444445,2026-05-09,2026-05,Saturday,0,0.15589593350887299,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.013888888888888888,2026-05-10,2026-05,Sunday,0,0.08199813216924667,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.027777777777777776,2026-05-10,2026-05,Sunday,0,0.09206260740756989,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.041666666666666664,2026-05-10,2026-05,Sunday,0,0.10869862139225006,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
is_top_5,0.09090909090909091,0.2,0.12500000000000003,0.0,0.0,0.0,0.0,11,0.06944444444444445,2026-05-10,2026-05,Sunday,0,0.15494747459888458,72,72,72,0,1.0,0.0,xgb,cuda,floor_type4,4,72
