target,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,date,month,day_of_week,is_thursday,threshold,entity_count,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,model_type,backend_used,segment_mode,segment_models_used,segment_prediction_rows
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0136986301369863,2026-04-21,2026-04,Tuesday,0,0.14950577914714813,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0273972602739726,2026-04-21,2026-04,Tuesday,0,0.16280412673950195,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0410958904109589,2026-04-21,2026-04,Tuesday,0,0.1620994657278061,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0684931506849315,2026-04-21,2026-04,Tuesday,0,0.1954200267791748,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0136986301369863,2026-04-22,2026-04,Wednesday,0,0.17615027725696564,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0273972602739726,2026-04-22,2026-04,Wednesday,0,0.16032609343528748,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0410958904109589,2026-04-22,2026-04,Wednesday,0,0.17542369663715363,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0684931506849315,2026-04-22,2026-04,Wednesday,0,0.18606355786323547,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0136986301369863,2026-04-23,2026-04,Thursday,1,0.160903200507164,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0273972602739726,2026-04-23,2026-04,Thursday,1,0.14637181162834167,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0410958904109589,2026-04-23,2026-04,Thursday,1,0.16322940587997437,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0684931506849315,2026-04-23,2026-04,Thursday,1,0.1912994384765625,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0136986301369863,2026-04-24,2026-04,Friday,0,0.1340579092502594,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0273972602739726,2026-04-24,2026-04,Friday,0,0.1500118225812912,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0410958904109589,2026-04-24,2026-04,Friday,0,0.16327296197414398,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0684931506849315,2026-04-24,2026-04,Friday,0,0.19370941817760468,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0136986301369863,2026-04-25,2026-04,Saturday,0,0.1644538789987564,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0273972602739726,2026-04-25,2026-04,Saturday,0,0.1515510380268097,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.5,0.3333333333333333,0.4,1.0,1.0,1.0,1.0,2,0.0410958904109589,2026-04-25,2026-04,Saturday,0,0.1541658192873001,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0684931506849315,2026-04-25,2026-04,Saturday,0,0.1883293241262436,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0136986301369863,2026-04-26,2026-04,Sunday,0,0.1506422609090805,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0273972602739726,2026-04-26,2026-04,Sunday,0,0.16242489218711853,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0410958904109589,2026-04-26,2026-04,Sunday,0,0.16638222336769104,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0684931506849315,2026-04-26,2026-04,Sunday,0,0.19824127852916718,73,73,73,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-04-27,2026-04,Monday,0,0.16185805201530457,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.027777777777777776,2026-04-27,2026-04,Monday,0,0.16533087193965912,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.041666666666666664,2026-04-27,2026-04,Monday,0,0.16618239879608154,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.06944444444444445,2026-04-27,2026-04,Monday,0,0.19155220687389374,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-04-28,2026-04,Tuesday,0,0.16979572176933289,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.027777777777777776,2026-04-28,2026-04,Tuesday,0,0.15018680691719055,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.041666666666666664,2026-04-28,2026-04,Tuesday,0,0.16402126848697662,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.06944444444444445,2026-04-28,2026-04,Tuesday,0,0.18202604353427887,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-04-29,2026-04,Wednesday,0,0.13332509994506836,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.027777777777777776,2026-04-29,2026-04,Wednesday,0,0.15454812347888947,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.041666666666666664,2026-04-29,2026-04,Wednesday,0,0.17094311118125916,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.06944444444444445,2026-04-29,2026-04,Wednesday,0,0.19720712304115295,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.013888888888888888,2026-04-30,2026-04,Thursday,1,0.14975567162036896,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,2,0.027777777777777776,2026-04-30,2026-04,Thursday,1,0.13804225623607635,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.041666666666666664,2026-04-30,2026-04,Thursday,1,0.16694074869155884,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.06944444444444445,2026-04-30,2026-04,Thursday,1,0.18944039940834045,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-01,2026-05,Friday,0,0.15546882152557373,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-01,2026-05,Friday,0,0.142288938164711,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.041666666666666664,2026-05-01,2026-05,Friday,0,0.15684935450553894,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.3333333333333333,0.2,0.25,1.0,1.0,1.0,1.0,3,0.06944444444444445,2026-05-01,2026-05,Friday,0,0.19426237046718597,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.013888888888888888,2026-05-02,2026-05,Saturday,0,0.16092316806316376,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-02,2026-05,Saturday,0,0.14107659459114075,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.041666666666666664,2026-05-02,2026-05,Saturday,0,0.15611235797405243,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.06944444444444445,2026-05-02,2026-05,Saturday,0,0.18860508501529694,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-03,2026-05,Sunday,0,0.15686169266700745,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-03,2026-05,Sunday,0,0.1538083702325821,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.041666666666666664,2026-05-03,2026-05,Sunday,0,0.1686670184135437,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.06944444444444445,2026-05-03,2026-05,Sunday,0,0.18824392557144165,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.013888888888888888,2026-05-04,2026-05,Monday,0,0.14676687121391296,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
