segment,target,feature,importance_mean,importance_std,n_models
2F,target_is_top3,weekday_prior_top1_rate,0.19013220369815825,0.01338742536473728,30
2F,target_is_top3,prior_top1_rate,0.18845200538635254,0.008818933913487351,30
2F,target_is_top3,is_weekend,0.16811433111627896,0.03738369995964202,30
2F,target_is_top3,lag1_rank_pct,0.15963739901781082,0.0075783089040882615,30
2F,target_is_top3,day_of_month,0.1480164145429929,0.006339658550589002,30
2F,target_is_top3,day_of_week_num,0.145647648225228,0.011356085738513867,30
3F,target_is_top3,prior_top1_rate,0.19623723924160003,0.005982991153899443,30
3F,target_is_top3,weekday_prior_top1_rate,0.17481384028991062,0.0059434384773076184,30
3F,target_is_top3,day_of_week_num,0.169645560781161,0.007978419864123463,30
3F,target_is_top3,lag1_rank_pct,0.16884592672189078,0.00676150618076245,30
3F,target_is_top3,day_of_month,0.1614800045887629,0.007920050902759794,30
3F,target_is_top3,is_weekend,0.1289774276316166,0.026006181066343448,30
