island,section,last_digit,best_dd,best_deviation,worst_dd,worst_deviation,dd_spread
AT島,574-590,1,24,2636.108055009823,31,-1543.8919449901769,4180.0
AT島,574-590,2,4,2908.069108979545,29,-1003.4877537655534,3911.5568627450984
AT島,574-590,4,4,2697.328905755851,10,-1016.838373655914,3714.167279411765
AT島,557-573,6,14,2188.3654618473897,16,-1403.8698322702576,3592.2352941176473
AT島,591-607,0,4,2460.054940034266,27,-1095.1215305539693,3555.176470588235
AT島,523-539,2,26,2126.626912568306,19,-1370.778215636822,3497.405128205128
AT島,557-573,4,10,1414.7139227642276,17,-1905.0765184122429,3319.7904411764703
AT島,608-623,7,2,1189.2286779742572,4,-2124.2419102610365,3313.4705882352937
AT島,574-590,3,7,1692.755308040376,15,-1471.7226331360946,3164.4779411764703
AT島,523-539,1,19,1549.1702956989247,5,-1537.2375474383302,3086.407843137255
AT島,523-539,0,4,1758.576398852224,17,-1307.6000717360114,3066.176470588235
AT島,608-623,4,7,1674.84298376885,10,-1206.6276044664442,2881.470588235294
AT島,540-556,7,2,1807.0347327797917,11,-996.9652672202083,2804.0
AT島,608-623,5,8,1673.9918699186992,29,-1088.0557491289198,2762.0476190476193
AT島,624-640,2,19,1778.0855720240852,21,-913.620310328856,2691.7058823529414
バラエティ島,745-755,9,16,1170.9939516129032,31,-1516.915770609319,2687.909722222222
AT島,540-556,4,30,2019.2178318135764,31,-645.4428824721379,2664.660714285714
AT島,523-539,7,4,1707.6550288467258,8,-933.3467536844685,2641.0017825311943
AT島,591-607,4,4,1684.2711740520785,3,-926.4257956448912,2610.69696969697
AT島,557-573,5,27,1593.3886942867496,23,-1008.978952772074,2602.3676470588234
AT島,501-522,4,27,1581.5730223123733,1,-1012.132860040568,2593.7058823529414
AT島,624-640,3,11,1273.2949282075033,19,-1285.6683070866143,2558.9632352941176
AT島,608-623,3,14,1486.8113651054828,22,-1048.1458541458542,2534.957219251337
AT島,591-607,2,14,1699.8850588235296,31,-823.1508888888889,2523.0359477124184
