island,section,last_digit,period,xday_mean,period_mean,deviation,global_mean,deviation_vs_global,n_xday_records,n_period_records
AT島,501-522,0,旧店長2025,528.7762237762238,121.42655367231639,407.3496701039074,104.17564870259481,424.600575073629,143,708
AT島,501-522,1,旧店長2025,499.9212962962963,18.151571164510166,481.7697251317861,40.72007848266841,459.20121781362786,216,1082
AT島,501-522,2,旧店長2025,507.39351851851853,-64.21309963099631,571.6066181495148,-23.576094056172437,530.9696125746909,216,1084
AT島,501-522,3,旧店長2025,54.513888888888886,110.56983240223464,-56.05594351334575,88.82381889763779,-34.30993000874891,144,716
AT島,501-522,4,旧店長2025,508.6736111111111,141.51882845188285,367.1547826592282,167.10344827586206,341.570162835249,144,717
AT島,501-522,5,旧店長2025,207.1818181818182,89.88575458392101,117.29606359789717,21.41906653426018,185.76275164755802,143,709
AT島,501-522,6,旧店長2025,105.81118881118881,83.71408250355618,22.09710630763263,145.2082494969819,-39.39706068579308,143,703
AT島,501-522,7,旧店長2025,438.006993006993,-130.51351351351352,568.5205065205065,-72.48597194388778,510.4929649508808,143,703
AT島,501-522,8,旧店長2025,263.0833333333333,-7.233380480905233,270.31671381423854,-27.229083665338646,290.31241699867195,144,707
AT島,501-522,9,旧店長2025,411.3006993006993,-29.474789915966387,440.7754892166657,-105.22487562189055,516.5255749225898,143,714
AT島,523-539,0,旧店長2025,-404.69444444444446,-287.60941828254846,-117.085026161896,-235.16463414634146,-169.529810298103,72,361
AT島,523-539,1,旧店長2025,312.6111111111111,-237.44505494505495,550.056166056166,-177.70362903225808,490.31474014336914,72,364
AT島,523-539,2,旧店長2025,509.125,58.917582417582416,450.2074175824176,-82.76024590163935,591.8852459016393,72,364
AT島,523-539,3,旧店長2025,-355.1666666666667,-306.3286713286713,-48.83799533799538,-242.5030181086519,-112.66364855801478,144,715
AT島,523-539,4,旧店長2025,-71.2027972027972,-178.25608011444922,107.05328291165202,-136.67722165474976,65.47442445195256,143,699
AT島,523-539,5,旧店長2025,-4.510489510489511,-184.56170212765957,180.05121261717005,-146.70408163265307,142.19359212216355,143,705
AT島,523-539,6,旧店長2025,43.98601398601399,-120.12660028449503,164.11261427050903,-59.17110655737705,103.15712054339104,143,703
AT島,523-539,7,旧店長2025,308.0625,-213.32217573221757,521.3846757322176,-154.7138523761375,462.77635237613754,144,717
AT島,523-539,8,旧店長2025,195.6267605633803,-63.79207920792079,259.41883977130107,-62.78600823045267,258.412768793833,142,707
AT島,523-539,9,旧店長2025,204.83916083916083,-133.22052704576976,338.05968788493055,-171.8085742771685,376.64773511632933,143,721
AT島,540-556,0,旧店長2025,871.5034965034965,285.00278164116827,586.5007148623283,152.03174603174602,719.4717504717505,143,719
AT島,540-556,1,旧店長2025,513.9285714285714,119.1235632183908,394.80500821018063,120.01630988786953,393.91226154070193,140,696
AT島,540-556,2,旧店長2025,214.66433566433565,217.2192362093352,-2.5549005449995548,160.40464177598386,54.25969388835179,143,707
AT島,540-556,3,旧店長2025,668.943661971831,86.77285714285715,582.1708048289739,140.59390862944161,528.3497533423895,142,700
AT島,540-556,4,旧店長2025,419.5422535211268,213.1246418338109,206.41761168731588,211.0678824721378,208.47437104898898,142,698
